benchmark,block,position,binary,instructions,cycles,output_sha256
fib30x3.js,1,1,guard,5426474189,974248405,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,1,2,dual,5083189312,922016749,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,1,3,candidate,5067058578,918181491,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,1,4,candidate,5067136208,937249104,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,1,5,dual,5083015778,917448076,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,1,6,guard,5426633264,977007928,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,1,guard,5426646419,976968931,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,2,dual,5083211102,921224083,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,3,candidate,5067223881,916168586,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,4,candidate,5067245358,924757194,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,5,dual,5083325687,922778147,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,2,6,guard,5426765191,975742662,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,3,1,guard,5426775482,977935444,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,3,2,dual,5083392496,917947527,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
fib30x3.js,3,3,candidate,5067208631,917429927,f3cb9927b69c642ccc86f00960a34476e3ae2c77931a68c94b632392adabaedd
