benchmark,blocks,metric,reference,median_ratio,mad,ci95_low,ci95_high,passes_1p5pct_nonregression,improvement_exceeds_3mad
call-add-two-arg-10m.js,15,cycles,dual,1.000302027,0.001839014,0.997192102,1.001545688,yes,no
call-add-two-arg-10m.js,15,cycles,guard,0.980545604,0.001280407,0.979265197,0.981677563,yes,yes
call-add-two-arg-10m.js,15,instructions,dual,0.997512286,0.000004703,0.997505284,0.997516236,yes,yes
call-add-two-arg-10m.js,15,instructions,guard,0.979031817,0.000005179,0.979023535,0.979035539,yes,yes
call-closure-two-arg-10m.js,15,cycles,dual,0.995238912,0.001548333,0.994167508,0.998016523,yes,yes
call-closure-two-arg-10m.js,15,cycles,guard,0.989011821,0.001480755,0.987880918,0.991389874,yes,yes
call-closure-two-arg-10m.js,15,instructions,dual,0.997944894,0.000004579,0.997938911,0.997948135,yes,yes
call-closure-two-arg-10m.js,15,instructions,guard,0.982660996,0.000002523,0.982659458,0.982663894,yes,yes
call-const-zero-arg-10m.js,15,cycles,dual,0.998324880,0.003859307,0.994756646,1.005350938,yes,no
call-const-zero-arg-10m.js,15,cycles,guard,0.996606254,0.005142062,0.990662989,1.001748316,yes,no
call-const-zero-arg-10m.js,15,instructions,dual,0.997229909,0.000005860,0.997224510,0.997235768,yes,yes
call-const-zero-arg-10m.js,15,instructions,guard,0.997222205,0.000010326,0.997215924,0.997234922,yes,yes
call-control-inline-add-10m.js,15,cycles,dual,1.003059675,0.001855639,1.000057389,1.004062853,yes,no
call-control-inline-add-10m.js,15,cycles,guard,1.004300475,0.000940362,1.002432959,1.004703179,yes,no
call-control-inline-add-10m.js,15,instructions,dual,0.999999961,0.000016954,0.999978763,1.000015701,yes,no
call-control-inline-add-10m.js,15,instructions,guard,1.000009532,0.000015263,0.999975623,1.000018548,yes,no
call-empty-zero-arg-10m.js,15,cycles,dual,0.999325781,0.006239177,0.994125168,1.013846303,yes,no
call-empty-zero-arg-10m.js,15,cycles,guard,0.994783190,0.008268067,0.992354723,1.009114663,yes,no
call-empty-zero-arg-10m.js,15,instructions,dual,0.996945955,0.000004089,0.996941866,0.996958120,yes,yes
call-empty-zero-arg-10m.js,15,instructions,guard,0.996944918,0.000009002,0.996937723,0.996958193,yes,yes
call-method-missing-one-arg-10m.js,15,cycles,dual,1.003446888,0.003174407,1.000937582,1.007433377,yes,no
call-method-missing-one-arg-10m.js,15,cycles,guard,1.004859284,0.002268215,1.000394007,1.005653716,yes,no
call-method-missing-one-arg-10m.js,15,instructions,dual,0.997831243,0.000009260,0.997823236,0.997841825,yes,yes
call-method-missing-one-arg-10m.js,15,instructions,guard,0.997832649,0.000004107,0.997827176,0.997836171,yes,yes
call-method-this-zero-arg-5m.js,15,cycles,dual,0.995801180,0.003992211,0.992585643,0.999793390,yes,no
call-method-this-zero-arg-5m.js,15,cycles,guard,0.997872385,0.004793908,0.992971763,1.000838932,yes,no
call-method-this-zero-arg-5m.js,15,instructions,dual,0.998823433,0.000004919,0.998818514,0.998825608,yes,yes
call-method-this-zero-arg-5m.js,15,instructions,guard,0.998827317,0.000009161,0.998821158,0.998835615,yes,yes
call-method-three-arg-1m.js,15,cycles,dual,0.995116328,0.003753238,0.988692218,0.998101940,yes,no
call-method-three-arg-1m.js,15,cycles,guard,0.952677130,0.002484374,0.949840188,0.953561209,yes,yes
call-method-three-arg-1m.js,15,instructions,dual,0.998422026,0.000011784,0.998410501,0.998433810,yes,yes
call-method-three-arg-1m.js,15,instructions,guard,0.953330831,0.000022303,0.953307412,0.953353134,yes,yes
call-method-zero-arg-10m.js,15,cycles,dual,0.995845436,0.002097081,0.993748355,0.997625243,yes,no
call-method-zero-arg-10m.js,15,cycles,guard,0.995903363,0.002112003,0.994027452,0.998157956,yes,no
call-method-zero-arg-10m.js,15,instructions,dual,0.997707558,0.000003703,0.997706094,0.997712269,yes,yes
call-method-zero-arg-10m.js,15,instructions,guard,0.997707142,0.000007726,0.997699417,0.997711689,yes,yes
call-missing-one-arg-10m.js,15,cycles,dual,0.994068688,0.007891102,0.986177586,1.001252797,yes,no
call-missing-one-arg-10m.js,15,cycles,guard,0.991958552,0.003205957,0.988752594,0.996316626,yes,no
call-missing-one-arg-10m.js,15,instructions,dual,0.997477319,0.000008424,0.997466281,0.997485743,yes,yes
call-missing-one-arg-10m.js,15,instructions,guard,0.997472819,0.000007442,0.997467804,0.997480261,yes,yes
call-missing-two-arg-10m.js,15,cycles,dual,0.994811736,0.006370470,0.975106662,0.999580127,yes,no
call-missing-two-arg-10m.js,15,cycles,guard,0.996450926,0.006502106,0.988407036,0.999841637,yes,no
call-missing-two-arg-10m.js,15,instructions,dual,0.997503543,0.000008743,0.997500714,0.997512286,yes,yes
call-missing-two-arg-10m.js,15,instructions,guard,0.997508020,0.000007860,0.997504358,0.997518253,yes,yes
call-named-function-expression-two-arg-10m.js,15,cycles,dual,1.000197885,0.001534083,0.999135482,1.001731968,yes,no
call-named-function-expression-two-arg-10m.js,15,cycles,guard,0.990069352,0.001144984,0.989138988,0.995130873,yes,yes
call-named-function-expression-two-arg-10m.js,15,instructions,dual,0.997779938,0.000005263,0.997773664,0.997781742,yes,yes
call-named-function-expression-two-arg-10m.js,15,instructions,guard,0.981275649,0.000005040,0.981271830,0.981282758,yes,yes
call-plain-primitive-property-zero-arg-5m.js,15,cycles,dual,1.006207665,0.001783953,1.004423711,1.007765830,yes,no
call-plain-primitive-property-zero-arg-5m.js,15,cycles,guard,1.006404420,0.000686884,1.005170229,1.007010632,yes,no
call-plain-primitive-property-zero-arg-5m.js,15,instructions,dual,0.997952947,0.000008435,0.997951869,0.997966112,yes,yes
call-plain-primitive-property-zero-arg-5m.js,15,instructions,guard,0.997966401,0.000008852,0.997947914,0.997970319,yes,yes
