allocator,scenario,rounds,elapsed_ns,rss_before,rss_sampled_peak,rss_after_destroy,checksum
c,recreate,3000,1646867852,2146304,4972544,4599808,5997000000
smp,recreate,3000,1614736074,2146304,5013504,4603904,5997000000
c,persistent,8000,2454168564,2138112,120360960,4870144,15992000000
smp,persistent,8000,2304998324,2146304,135598080,8630272,15992000000
c,parallel,1500,484608770,2142208,101040128,5767168,11994000000
smp,parallel,1500,495273932,2146304,109498368,12496896,11994000000
smp,recreate,3000,1707804024,2134016,5001216,4591616,5997000000
c,recreate,3000,1657473388,2146304,4972544,4599808,5997000000
smp,persistent,8000,2238324729,2146304,135225344,8630272,15992000000
c,persistent,8000,2276294024,2150400,132083712,4947968,15992000000
smp,parallel,1500,489290711,2142208,108888064,13733888,11994000000
c,parallel,1500,469523200,2146304,104472576,5738496,11994000000
c,recreate,3000,1590900037,2146304,4972544,4599808,5997000000
smp,recreate,3000,1625717113,2146304,5013504,4603904,5997000000
c,persistent,8000,2280879480,2146304,131444736,4939776,15992000000
smp,persistent,8000,2318147280,2134016,124407808,9142272,15992000000
c,parallel,1500,482224041,2146304,102027264,5750784,11994000000
smp,parallel,1500,487738024,2146304,108986368,13139968,11994000000
smp,recreate,3000,1649630126,2146304,5013504,4603904,5997000000
c,recreate,3000,1732556441,2146304,4972544,4599808,5997000000
smp,persistent,8000,2257270662,2138112,135229440,8622080,15992000000
c,persistent,8000,2201908561,2146304,131538944,4943872,15992000000
smp,parallel,1500,488005000,2146304,107868160,11767808,11994000000
c,parallel,1500,458015627,2146304,105660416,5750784,11994000000
