repetition,allocator,scenario,rounds,elapsed_ns,before_rss,peak_rss,after_rss,checksum
1,c,recreate,3000,1514382828,2138112,4956160,4583424,5997000000
1,smp,recreate,3000,1518237086,2125824,4993024,4583424,5997000000
2,smp,recreate,3000,1672310770,2142208,5009408,4599808,5997000000
2,c,recreate,3000,1689182130,2142208,4960256,4587520,5997000000
3,c,recreate,3000,1626061523,2142208,4960256,4587520,5997000000
3,smp,recreate,3000,1714789724,2142208,5009408,4599808,5997000000
4,smp,recreate,3000,1682735602,2142208,5009408,4599808,5997000000
4,c,recreate,3000,1688066027,2129920,4947968,4575232,5997000000
1,c,persistent,8000,2244218249,2146304,133005312,4632576,15992000000
1,smp,persistent,8000,2333090386,2142208,135819264,7643136,15992000000
2,smp,persistent,8000,2274040742,2142208,135864320,7704576,15992000000
2,c,persistent,8000,2245565292,2142208,121950208,4866048,15992000000
3,c,persistent,8000,2217091634,2142208,132775936,4935680,15992000000
3,smp,persistent,8000,2170060416,2142208,135856128,7708672,15992000000
4,smp,persistent,8000,2224777925,2134016,133873664,7696384,15992000000
4,c,persistent,8000,2198862120,2146304,120655872,4870144,15992000000
1,c,parallel,1500,467882757,2142208,102305792,5812224,11994000000
1,smp,parallel,1500,476049660,2142208,107991040,9826304,11994000000
2,smp,parallel,1500,502007145,2146304,104009728,9994240,11994000000
2,c,parallel,1500,480339921,2142208,101675008,5746688,11994000000
3,c,parallel,1500,481523398,2142208,99409920,5750784,11994000000
3,smp,parallel,1500,483156494,2142208,106127360,10141696,11994000000
4,smp,parallel,1500,476758351,2146304,106819584,9916416,11994000000
4,c,parallel,1500,474498693,2142208,101269504,5734400,11994000000
