allocator,scenario,rounds,elapsed_ns,rss_before,rss_sampled_peak,rss_after_destroy,checksum
c,recreate,30,19304819,2142208,4964352,4591616,59970000
smp,recreate,30,18393564,2146304,4997120,4587520,59970000
c,persistent,80,24459839,2146304,6754304,4239360,159920000
smp,persistent,80,24679905,2138112,7376896,4825088,159920000
c,parallel,30,21340660,2150400,13365248,5263360,239880000
smp,parallel,30,22387213,2146304,13803520,5513216,239880000
smp,recreate,30,18788223,2150400,4997120,4587520,59970000
c,recreate,30,17785463,2146304,4968448,4595712,59970000
smp,persistent,80,38499990,2146304,7385088,4833280,159920000
c,persistent,80,37481901,2138112,6746112,4231168,159920000
smp,parallel,30,22442206,2146304,13881344,5668864,239880000
c,parallel,30,20464541,2146304,13426688,5251072,239880000
c,recreate,30,17533140,2146304,4968448,4595712,59970000
smp,recreate,30,18912849,2146304,4997120,4587520,59970000
c,persistent,80,37547758,2150400,6758400,4243456,159920000
smp,persistent,80,25417576,2146304,7385088,4833280,159920000
c,parallel,30,21669112,2146304,13402112,5259264,239880000
smp,parallel,30,22405757,2146304,13778944,5488640,239880000
