engine,case,sample,instructions,cycles,task_clock_ms
zjs,empty,1,2889633,2339729,602336.000
zjs,ctrl,1,10152371848,1817744253,466150368.000
zjs,N1_abs_hoisted,1,28116020851,5570600714,1428447808.000
zjs,N1m_abs_method,1,29016481704,5749838431,1474407904.000
zjs,N2_max3_variadic,1,36919680648,7266675183,1863367648.000
zjs,N3_charcodeat,1,30031166235,5188923580,1330593920.000
zjs,N4_hasown_string,1,48719531628,9183916633,2353674016.000
zjs,N5_push_pop,1,27014801300,5290413585,1356600784.000
zjs,N6_fcall,1,23511254660,3717483036,953307840.000
zjs,N7_fapply,1,36092902155,6710099557,1720646416.000
zjs,C1_foreach8,1,27698019187,5053607014,1294016752.000
zjs,C2_reduce8,1,35963732607,7050737416,1807994880.000
zjs,C3_map8,1,46027096047,8836608923,2266062208.000
zjs,C4_sort8,1,28967542070,6702079163,1718814672.000
zjs,C5_replace_fn,1,42447850009,9983308219,2560010320.000
qjs,empty,1,2282970,1745540,449792.000
qjs,ctrl,1,15345654288,2031188094,520857072.000
qjs,N1_abs_hoisted,1,21459950305,3372336557,864776976.000
qjs,N1m_abs_method,1,25062842029,4498685671,1153600576.000
qjs,N2_max3_variadic,1,24361097969,3774682103,967962832.000
qjs,N3_charcodeat,1,32957091920,4849038282,1243427584.000
qjs,N4_hasown_string,1,46006818434,6964803032,1785959472.000
qjs,N5_push_pop,1,33588896707,5160567547,1323307120.000
qjs,N6_fcall,1,17984172526,3050726804,782340704.000
qjs,N7_fapply,1,28912296071,4421058401,1133690656.000
qjs,C1_foreach8,1,22455133815,2949831908,756459776.000
qjs,C2_reduce8,1,21469004138,2876002201,737509376.000
qjs,C3_map8,1,43371237258,6112326824,1567393040.000
qjs,C4_sort8,1,14610886828,1964003043,503623872.000
qjs,C5_replace_fn,1,33102139877,5286406364,1355604752.000
hermes,empty,1,12007287,8292220,2130784.000
hermes,ctrl,1,2364560494,685378915,175758032.000
hermes,N1_abs_hoisted,1,10617099293,1854856506,475652928.000
hermes,N1m_abs_method,1,13718983939,2668667629,684336016.000
hermes,N2_max3_variadic,1,18969893492,3113175501,798411376.000
hermes,N3_charcodeat,1,28372951672,4473158819,1147041312.000
hermes,N4_hasown_string,1,31023628999,4836835688,1240294464.000
hermes,N5_push_pop,1,14668599326,2509435155,643490176.000
hermes,N6_fcall,1,3290018526,670638948,171974912.000
hermes,N7_fapply,1,26073945210,4856948077,1245460768.000
hermes,C1_foreach8,1,23142237924,4097797777,1050801376.000
hermes,C2_reduce8,1,21791324174,3726832825,955695696.000
hermes,C3_map8,1,24531005065,4341958709,1113429200.000
hermes,C4_sort8,1,26286868173,4326393414,1109406576.000
hermes,C5_replace_fn,1,24523326802,4938937976,1266486720.000
v8,empty,1,51830742,38117496,9812288.000
v8,ctrl,1,13428499851,1883011027,482322128.000
v8,N1_abs_hoisted,1,18928032953,2868536595,735627088.000
v8,N1m_abs_method,1,24133614499,3601132855,923480160.000
v8,N2_max3_variadic,1,26380905108,3736758519,958265696.000
v8,N3_charcodeat,1,27813714407,3930133053,1007839744.000
v8,N4_hasown_string,1,28683112847,3973453230,1019073456.000
v8,N5_push_pop,1,29732250050,4769452059,1222731840.000
v8,N6_fcall,1,16605237602,2556074617,655492608.000
v8,N7_fapply,1,23181348759,3391153337,869634480.000
v8,C1_foreach8,1,20323498347,3463529368,888279760.000
v8,C2_reduce8,1,14028062818,2409828430,617993024.000
v8,C3_map8,1,15558391792,2465788899,632359424.000
v8,C4_sort8,1,10541655848,1675230842,429618736.000
v8,C5_replace_fn,1,10767887836,1980652977,507978000.000
jsc,empty,1,14048238,10529456,2703968.000
jsc,ctrl,1,5866667404,887126134,227488928.000
jsc,N1_abs_hoisted,1,15671173221,2704401825,693494704.000
jsc,N1m_abs_method,1,21122975356,3649764556,935901424.000
jsc,N2_max3_variadic,1,19872409618,3347401553,858365232.000
jsc,N3_charcodeat,1,20616152855,3487213183,894217152.000
jsc,N4_hasown_string,1,21673120530,3759164167,963984512.000
jsc,N5_push_pop,1,16146274959,2902952932,744512848.000
jsc,N6_fcall,1,10794073513,1899305256,487039616.000
jsc,N7_fapply,1,24474334358,4068210759,1042942240.000
jsc,C1_foreach8,1,39336779534,6169978246,1582710928.000
jsc,C2_reduce8,1,36103257050,5712465202,1464829232.000
jsc,C3_map8,1,39821505012,7119803336,1825880160.000
jsc,C4_sort8,1,6055860343,1080641255,273535920.000
jsc,C5_replace_fn,1,12500447172,2685810100,678514320.000
jsc,C5_replace_fn,2,12476173972,2649319750,675303280.000
jsc,C4_sort8,2,6055690744,1081442240,277319200.000
jsc,C3_map8,2,39821831327,7039210342,1805290384.000
jsc,C2_reduce8,2,36104237406,6196723336,1589007040.000
jsc,C1_foreach8,2,39336233007,6164436639,1580727808.000
jsc,N7_fapply,2,24474902632,4277159652,1096784160.000
jsc,N6_fcall,2,10794067226,1893701620,485603168.000
jsc,N5_push_pop,2,16146286285,2906434410,745293920.000
jsc,N4_hasown_string,2,21672949924,3768647970,966386656.000
jsc,N3_charcodeat,2,20616271726,3442007694,882625152.000
jsc,N2_max3_variadic,2,19872557626,3318586775,850978144.000
jsc,N1m_abs_method,2,21122970743,3682955572,944409984.000
jsc,N1_abs_hoisted,2,15671238930,2708453667,694524512.000
jsc,ctrl,2,5866714874,878638337,225313248.000
jsc,empty,2,14112714,8529364,2190800.000
v8,C5_replace_fn,2,10767767812,2013242740,516332592.000
v8,C4_sort8,2,10542094494,1676728584,430013184.000
v8,C3_map8,2,15558515617,2474455074,634569184.000
v8,C2_reduce8,2,14028223991,2412149395,618589552.000
v8,C1_foreach8,2,20323908193,3455925817,886329792.000
v8,N7_fapply,2,23181957796,3387532246,868701104.000
v8,N6_fcall,2,16604721724,2554465699,655077664.000
v8,N5_push_pop,2,29732895980,4776314353,1225181200.000
v8,N4_hasown_string,2,28682616886,3979071873,1020391680.000
v8,N3_charcodeat,2,27814604089,3929261144,1007620800.000
v8,N2_max3_variadic,2,26381236407,3749174493,961441968.000
v8,N1m_abs_method,2,24133422741,3609032611,925518448.000
v8,N1_abs_hoisted,2,18928210416,2858909475,733153856.000
v8,ctrl,2,13428614955,1894187392,485780368.000
v8,empty,2,51767651,41296495,10624256.000
hermes,C5_replace_fn,2,24523247451,4927082808,1263445520.000
hermes,C4_sort8,2,26286828777,4349133265,1115235968.000
hermes,C3_map8,2,24530767000,4308320149,1104786704.000
hermes,C2_reduce8,2,21791273467,3766133893,965745008.000
hermes,C1_foreach8,2,23142000871,4070170033,1043871024.000
hermes,N7_fapply,2,26073673508,4813962508,1234433584.000
hermes,N6_fcall,2,3290050291,677789853,173809008.000
hermes,N5_push_pop,2,14668472130,2481511844,636332128.000
hermes,N4_hasown_string,2,31024109358,4771049666,1221755984.000
hermes,N3_charcodeat,2,28374335238,4468915296,1145954752.000
hermes,N2_max3_variadic,2,18970180866,3119603089,799952928.000
hermes,N1m_abs_method,2,13719146226,2710878011,695145952.000
hermes,N1_abs_hoisted,2,10617126888,1845050595,473124896.000
hermes,ctrl,2,2364495314,674103580,172864784.000
hermes,empty,2,12013489,7811821,2007872.000
qjs,C5_replace_fn,2,33102614269,5280416244,1354036576.000
qjs,C4_sort8,2,14611165043,1963611363,503529360.000
qjs,C3_map8,2,43391286791,6101802564,1564655664.000
qjs,C2_reduce8,2,21468752801,2884086474,739564528.000
qjs,C1_foreach8,2,22454944614,2949499057,756337968.000
qjs,N7_fapply,2,28912222027,4471878015,1146708352.000
qjs,N6_fcall,2,17984104311,3057267787,783964512.000
qjs,N5_push_pop,2,33588947705,5191045592,1331120960.000
qjs,N4_hasown_string,2,46007058163,6972456841,1787928528.000
qjs,N3_charcodeat,2,32957024694,4856498876,1245337472.000
qjs,N2_max3_variadic,2,24361027444,3767217960,966044640.000
qjs,N1m_abs_method,2,25062634810,4528731095,1161288688.000
qjs,N1_abs_hoisted,2,21460086855,3374015355,865191664.000
qjs,ctrl,2,15345820330,2061412793,528603440.000
qjs,empty,2,2269710,1557096,401280.000
zjs,C5_replace_fn,2,43116114417,10142863803,2600908208.000
zjs,C4_sort8,2,28345399100,6592729475,1690573184.000
zjs,C3_map8,2,46038203535,8876668582,2276273904.000
zjs,C2_reduce8,2,35963012679,6942343842,1780196048.000
zjs,C1_foreach8,2,27697627201,5025141832,1287631920.000
zjs,N7_fapply,2,36092641021,6706266145,1719659312.000
zjs,N6_fcall,2,23511145667,3703874774,949790000.000
zjs,N5_push_pop,2,27014510579,5259050402,1348558192.000
zjs,N4_hasown_string,2,48719644406,9271274337,2377402976.000
zjs,N3_charcodeat,2,30031097367,5190128167,1330897792.000
zjs,N2_max3_variadic,2,36920459391,7275823526,1865750096.000
zjs,N1m_abs_method,2,29016941314,5762848021,1477775728.000
zjs,N1_abs_hoisted,2,28115990476,5382370303,1379334720.000
zjs,ctrl,2,10152262574,1791004657,459268544.000
zjs,empty,2,2899319,2054229,528704.000
zjs,empty,3,2918921,1861133,478848.000
zjs,ctrl,3,10152513393,1823824925,467681280.000
zjs,N1_abs_hoisted,3,28115977646,5409503227,1387140032.000
zjs,N1m_abs_method,3,29017285228,6010249955,1541182208.000
zjs,N2_max3_variadic,3,36919851147,7272565720,1864895488.000
zjs,N3_charcodeat,3,30031410356,5247819520,1345688144.000
zjs,N4_hasown_string,3,48719982577,9248318445,2371507728.000
zjs,N5_push_pop,3,27015038983,5297490850,1358419440.000
zjs,N6_fcall,3,23511410837,3707667859,950745328.000
zjs,N7_fapply,3,36093764773,6889955559,1766842400.000
zjs,C1_foreach8,3,27698006804,5033808903,1290812064.000
zjs,C2_reduce8,3,35963172955,6888469286,1766380640.000
zjs,C3_map8,3,46040789351,8807379654,2258459824.000
zjs,C4_sort8,3,28611184666,6602494112,1693050560.000
zjs,C5_replace_fn,3,42604818252,10085846994,2585001664.000
qjs,empty,3,2278054,1695761,436784.000
qjs,ctrl,3,15345631962,2034895452,521804848.000
qjs,N1_abs_hoisted,3,21459961775,3374323667,865276720.000
qjs,N1m_abs_method,3,25062625124,4557392986,1168634016.000
qjs,N2_max3_variadic,3,24361025034,3769515874,966603120.000
qjs,N3_charcodeat,3,32956831443,4847451491,1243013296.000
qjs,N4_hasown_string,3,46007654275,7286809397,1867207504.000
qjs,N5_push_pop,3,33589384562,5186230651,1329891792.000
qjs,N6_fcall,3,17984387993,3053574620,783072912.000
qjs,N7_fapply,3,28912140964,4414346446,1132041536.000
qjs,C1_foreach8,3,22455125334,2952851111,757250016.000
qjs,C2_reduce8,3,21468780011,2872847568,736883168.000
qjs,C3_map8,3,43371204418,6113115762,1567590848.000
qjs,C4_sort8,3,14610840628,1959428028,502469200.000
qjs,C5_replace_fn,3,33101996351,5312282279,1362216240.000
hermes,empty,3,12024932,7681191,1974480.000
hermes,ctrl,3,2364362139,663255520,170084576.000
hermes,N1_abs_hoisted,3,10617151910,1851259422,474742176.000
hermes,N1m_abs_method,3,13718928518,2667560718,684114592.000
hermes,N2_max3_variadic,3,18969781488,3099022649,794736912.000
hermes,N3_charcodeat,3,28372904622,4440074577,1138726048.000
hermes,N4_hasown_string,3,31023713008,4759888613,1220646400.000
hermes,N5_push_pop,3,14668511410,2478607712,635712528.000
hermes,N6_fcall,3,3289835688,676394151,173469904.000
hermes,N7_fapply,3,26073678446,4824925186,1237247152.000
hermes,C1_foreach8,3,23142282740,4082511341,1046867184.000
hermes,C2_reduce8,3,21791631455,3787776699,971290384.000
hermes,C3_map8,3,24531062224,4349448698,1115327792.000
hermes,C4_sort8,3,26286957712,4331496894,1110713344.000
hermes,C5_replace_fn,3,24523728362,4957777546,1271317856.000
v8,empty,3,52395469,39202318,10085424.000
v8,ctrl,3,13428661012,1882315757,482763632.000
v8,N1_abs_hoisted,3,18927987465,2872960796,736750032.000
v8,N1m_abs_method,3,24133667852,3604208779,924268112.000
v8,N2_max3_variadic,3,26381128255,3756966853,963459584.000
v8,N3_charcodeat,3,27813805406,3927714110,1007220944.000
v8,N4_hasown_string,3,28683611244,3984457612,1021776032.000
v8,N5_push_pop,3,29733536447,4827565753,1238339984.000
v8,N6_fcall,3,16604162494,2556069366,655492048.000
v8,N7_fapply,3,23181497022,3388921093,869061120.000
v8,C1_foreach8,3,20323416267,3468738869,889649952.000
v8,C2_reduce8,3,14028274907,2400715296,615652528.000
v8,C3_map8,3,15558249914,2466567339,632545568.000
v8,C4_sort8,3,10541911537,1670860462,428499328.000
v8,C5_replace_fn,3,10767961171,1993137235,511190352.000
jsc,empty,3,14052908,10023716,2574048.000
jsc,ctrl,3,5866796746,876660678,224808192.000
jsc,N1_abs_hoisted,3,15671457763,2721535773,697882080.000
