engine,case,sample,instructions,cycles,task_clock_ms
zjs,empty,1,2934389,2513060,648528.000
zjs,ctrl,1,10152371777,1826301777,468319280.000
zjs,N1_abs_hoisted,1,21112113690,3494853305,896176064.000
zjs,N1m_abs_method,1,25265317951,4801229722,1231172000.000
zjs,N2_max3_variadic,1,20511936590,3280876060,841308736.000
zjs,N3_charcodeat,1,28531664215,5055727255,1296425184.000
zjs,N4_hasown_string,1,33613787674,5983085180,1534233920.000
zjs,N5_push_pop,1,24364746620,4820710204,1236165488.000
zjs,N6_fcall,1,23737080192,3789146877,971645456.000
zjs,N7_fapply,1,34318783580,6704416883,1719211088.000
zjs,C1_foreach8,1,25768276340,4718359672,1209916368.000
zjs,C2_reduce8,1,34073064257,6548034299,1679104832.000
zjs,C3_map8,1,44166168479,8365073502,2145085728.000
zjs,C4_sort8,1,16306847472,3408053422,873929024.000
zjs,C5_replace_fn,1,42322314561,9945645642,2550403888.000
qjs,empty,1,2252193,1669935,430976.000
qjs,ctrl,1,15346106429,2058292086,527832752.000
qjs,N1_abs_hoisted,1,21460642232,3375702264,865623488.000
qjs,N1m_abs_method,1,25063408317,4532081466,1162148288.000
qjs,N2_max3_variadic,1,24361752877,3778666981,968954080.000
qjs,N3_charcodeat,1,32957444713,4858144481,1245838128.000
qjs,N4_hasown_string,1,46008047618,6955875815,1783755984.000
qjs,N5_push_pop,1,33589770833,5164851576,1324412128.000
qjs,N6_fcall,1,17984611431,3063094353,785474784.000
qjs,N7_fapply,1,28912939911,4459713612,1143620624.000
qjs,C1_foreach8,1,22455788331,2996298767,768434176.000
qjs,C2_reduce8,1,21469225305,2896774190,742815024.000
qjs,C3_map8,1,43392073980,6066165441,1555605232.000
qjs,C4_sort8,1,14610846804,1960654018,502774752.000
qjs,C5_replace_fn,1,33102791512,5262664955,1349504032.000
qjs,C5_replace_fn,2,33102803010,5302542889,1358815952.000
qjs,C4_sort8,2,14610940570,1940242430,497604128.000
qjs,C3_map8,2,43417115098,6132404905,1571668592.000
qjs,C2_reduce8,2,21469153310,2889073021,740838368.000
qjs,C1_foreach8,2,22455522394,2949269513,756287184.000
qjs,N7_fapply,2,28912941119,4424130555,1134480416.000
qjs,N6_fcall,2,17984971171,3063292529,785521888.000
qjs,N5_push_pop,2,33589777873,5173832035,1326715152.000
qjs,N4_hasown_string,2,46008069161,6965359603,1786113216.000
qjs,N3_charcodeat,2,32957458935,4864285863,1247333760.000
qjs,N2_max3_variadic,2,24361507653,3781708201,969734160.000
qjs,N1m_abs_method,2,25063587041,4657893997,1194430656.000
qjs,N1_abs_hoisted,2,21460885367,3370047104,864176896.000
qjs,ctrl,2,15346234809,2082655038,534054096.000
qjs,empty,2,2287243,1689260,435280.000
zjs,C5_replace_fn,2,42140192408,9923181231,2544645808.000
zjs,C4_sort8,2,16306823727,3409251916,874226592.000
zjs,C3_map8,2,44145586576,8280638667,2123498528.000
zjs,C2_reduce8,2,34073667549,6552090088,1680145648.000
zjs,C1_foreach8,2,25767919492,4723134949,1211151040.000
zjs,N7_fapply,2,34318938550,6589306172,1689729296.000
