engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3595631,8115545
zjs,ctrl,20000000,1,4059564830,725445159
zjs,builtin,20000000,1,8446571656,1373038296
zjs,host2,20000000,1,10447483584,1816674494
zjs,host0,20000000,1,9947414930,1776977995
zjs,hostm2,20000000,1,11968561133,2299589048
zjs,plugin2,20000000,1,15110210571,3074586466
zjs,n2j1,20000000,1,10028385273,2006460066
zjs,n2j0,20000000,1,8787953170,1779571554
qjs,ctrl,0,1,2244337,1642223
qjs,ctrl,20000000,1,6592660826,951756541
qjs,builtin,20000000,1,8505761711,1379649898
qjs,host2,20000000,1,9886232410,1660851382
qjs,host0,20000000,1,8345692396,1414282544
qjs,n2j1,20000000,1,5944614884,955614879
qjs,n2j0,20000000,1,3703493563,557496518
qjs,n2j0,20000000,2,3703784848,562412796
qjs,n2j1,20000000,2,5944728565,956669856
qjs,host0,20000000,2,8345763379,1415697452
qjs,host2,20000000,2,9886489855,1658617377
qjs,builtin,20000000,2,8505768246,1382077220
qjs,ctrl,20000000,2,6592770331,955159135
qjs,ctrl,0,2,2249220,1363070
zjs,n2j0,20000000,2,8787953866,1780609195
zjs,n2j1,20000000,2,10028620343,2034445750
zjs,plugin2,20000000,2,15110684259,3074233224
zjs,hostm2,20000000,2,11968993701,2281583207
zjs,host0,20000000,2,9947886751,1780099794
zjs,host2,20000000,2,10447997143,1818137243
zjs,builtin,20000000,2,8446872186,1384622888
zjs,ctrl,20000000,2,4059642240,721104245
zjs,ctrl,0,2,3391908,2014460
zjs,ctrl,0,3,3386960,1851806
zjs,ctrl,20000000,3,4059699925,729462359
zjs,builtin,20000000,3,8446850591,1384901400
zjs,host2,20000000,3,10447717510,1819074492
zjs,host0,20000000,3,9947648799,1773082471
zjs,hostm2,20000000,3,11968601153,2280588262
zjs,plugin2,20000000,3,15110409383,3069122344
zjs,n2j1,20000000,3,10028122746,2008933688
zjs,n2j0,20000000,3,8787617196,1779707955
qjs,ctrl,0,3,2245239,1604997
qjs,ctrl,20000000,3,6592688292,960294001
qjs,builtin,20000000,3,8505499593,1377457030
qjs,host2,20000000,3,9886340863,1659612361
qjs,host0,20000000,3,8345682822,1414125061
qjs,n2j1,20000000,3,5944759543,960180667
qjs,n2j0,20000000,3,3703787119,582872613
qjs,n2j0,20000000,4,3703889472,557514471
qjs,n2j1,20000000,4,5944741450,956410110
qjs,host0,20000000,4,8345683916,1415731165
qjs,host2,20000000,4,9886135906,1660146087
qjs,builtin,20000000,4,8505542547,1380778876
qjs,ctrl,20000000,4,6592373818,955842191
qjs,ctrl,0,4,2248962,1475599
zjs,n2j0,20000000,4,8787721341,1764807816
zjs,n2j1,20000000,4,10028084356,2034895342
zjs,plugin2,20000000,4,15111193121,3082389946
zjs,hostm2,20000000,4,11969231250,2281813931
zjs,host0,20000000,4,9947880925,1781253898
zjs,host2,20000000,4,10447802021,1822151177
zjs,builtin,20000000,4,8446565376,1385076224
zjs,ctrl,20000000,4,4059527857,726457828
zjs,ctrl,0,4,3392584,1934658
