engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3573466,2907929
zjs,ctrl,20000000,1,4059667599,728840971
zjs,builtin,20000000,1,5125374036,766847195
zjs,host2,20000000,1,9167058808,1518994770
zjs,host0,20000000,1,8606873953,1443513407
zjs,hostm2,20000000,1,10087942007,1916399113
zjs,n2j1,20000000,1,9287873007,1780937990
zjs,n2j0,20000000,1,8067324663,1565057951
zjs,leaf2,20000000,1,5725573973,856480412
zjs,leaf_state,20000000,1,5605600932,950777130
zjs,method_typed,20000000,1,7066522120,1285243083
zjs,method_managed,20000000,1,10308343028,2066240120
zjs,getter_native,20000000,1,9828778277,1971502129
zjs,getter_typed,20000000,1,9008209448,1727024031
zjs,site1,20000000,1,8247508022,1637914984
zjs,site0,20000000,1,6906991803,1470038993
zjs,prop_site,20000000,1,7506445200,1249213758
qjs,ctrl,0,1,2258177,1396188
qjs,ctrl,20000000,1,6592693770,953448174
qjs,builtin,20000000,1,8505468914,1380415798
qjs,host2,20000000,1,9886252105,1663957491
qjs,host0,20000000,1,8345665136,1414483036
qjs,n2j1,20000000,1,5944671394,957236232
qjs,n2j0,20000000,1,3703865838,579543170
qjs,leaf2,20000000,1,9886145427,1660137379
qjs,leaf_state,20000000,1,8925758390,1511697205
qjs,method_typed,20000000,1,11307267752,2145079030
qjs,method_managed,20000000,1,10626874181,2007928982
qjs,getter_native,20000000,1,10487771311,2073021147
qjs,getter_typed,20000000,1,10487324839,2012610962
qjs,site1,20000000,1,5944621492,960208147
qjs,site0,20000000,1,3703864923,566504348
qjs,prop_site,20000000,1,6284658490,919469971
qjs,prop_site,20000000,2,6284578942,922595843
qjs,site0,20000000,2,3703733207,568120408
qjs,site1,20000000,2,5944711003,959607288
qjs,getter_typed,20000000,2,10487151787,2013921029
qjs,getter_native,20000000,2,10487312747,2009727335
qjs,method_managed,20000000,2,10626908283,2011937013
qjs,method_typed,20000000,2,11307262974,2145468168
qjs,leaf_state,20000000,2,8925865081,1513637000
qjs,leaf2,20000000,2,9886380193,1659363887
qjs,n2j0,20000000,2,3703885313,579456559
qjs,n2j1,20000000,2,5944729896,962363549
qjs,host0,20000000,2,8345754704,1414104160
qjs,host2,20000000,2,9885940592,1662778690
qjs,builtin,20000000,2,8505529041,1379239298
qjs,ctrl,20000000,2,6592545618,956613600
qjs,ctrl,0,2,2262895,1337032
zjs,prop_site,20000000,2,7506467241,1246505199
zjs,site0,20000000,2,6906966526,1484162480
zjs,site1,20000000,2,8247531493,1650000552
zjs,getter_typed,20000000,2,9008013854,1721083544
zjs,getter_native,20000000,2,9828668137,1974129723
zjs,method_managed,20000000,2,10308150743,2094376441
zjs,method_typed,20000000,2,7066452097,1283127862
zjs,leaf_state,20000000,2,5605647510,964171304
zjs,leaf2,20000000,2,5725564108,859064994
zjs,n2j0,20000000,2,8067307359,1562968641
zjs,n2j1,20000000,2,9287638572,1787565203
zjs,hostm2,20000000,2,10088038179,2015740743
zjs,host0,20000000,2,8606827188,1449276557
zjs,host2,20000000,2,9166982936,1521290361
zjs,builtin,20000000,2,5125328187,765223800
zjs,ctrl,20000000,2,4059543377,724482231
zjs,ctrl,0,2,3495552,2172999
zjs,ctrl,0,3,3506221,2130795
zjs,ctrl,20000000,3,4059584160,725498692
zjs,builtin,20000000,3,5125317256,764874158
zjs,host2,20000000,3,9166924495,1582597582
zjs,host0,20000000,3,8606728840,1452955737
zjs,hostm2,20000000,3,10087843377,1931702958
zjs,n2j1,20000000,3,9287686383,1780503082
zjs,n2j0,20000000,3,8067190881,1559325329
zjs,leaf2,20000000,3,5725521226,859348059
zjs,leaf_state,20000000,3,5605764907,967733477
zjs,method_typed,20000000,3,7066357365,1282770683
zjs,method_managed,20000000,3,10308103230,2062412292
zjs,getter_native,20000000,3,9828590460,1978025811
zjs,getter_typed,20000000,3,9007994600,1716570483
zjs,site1,20000000,3,8247282751,1687766485
zjs,site0,20000000,3,6906855720,1428798012
zjs,prop_site,20000000,3,7506550175,1245602620
qjs,ctrl,0,3,2240185,1499683
qjs,ctrl,20000000,3,6592642343,956559630
qjs,builtin,20000000,3,8505397305,1378345153
qjs,host2,20000000,3,9886171270,1655520598
qjs,host0,20000000,3,8345566377,1412658078
qjs,n2j1,20000000,3,5944662280,962577801
qjs,n2j0,20000000,3,3703649982,579603958
qjs,leaf2,20000000,3,9886121983,1660857940
qjs,leaf_state,20000000,3,8925756872,1516803118
qjs,method_typed,20000000,3,11307232220,2149074501
qjs,method_managed,20000000,3,10626707256,2019083281
qjs,getter_native,20000000,3,10487148206,2010039184
qjs,getter_typed,20000000,3,10487091664,2012008074
qjs,site1,20000000,3,5944600984,957620082
qjs,site0,20000000,3,3703760568,557695388
qjs,prop_site,20000000,3,6284508230,918987168
qjs,prop_site,20000000,4,6284462241,923143847
qjs,site0,20000000,4,3703790362,563689572
qjs,site1,20000000,4,5944643760,960243558
qjs,getter_typed,20000000,4,10487156735,2012055574
qjs,getter_native,20000000,4,10487140046,2015277321
qjs,method_managed,20000000,4,10626886905,2016776367
qjs,method_typed,20000000,4,11307232314,2147600167
qjs,leaf_state,20000000,4,8925725751,1511386821
qjs,leaf2,20000000,4,9886008357,1658602642
qjs,n2j0,20000000,4,3703693555,579640473
qjs,n2j1,20000000,4,5944615977,960488024
qjs,host0,20000000,4,8345629924,1414972456
qjs,host2,20000000,4,9886045968,1658204128
qjs,builtin,20000000,4,8505478225,1393572460
qjs,ctrl,20000000,4,6592482173,956378246
qjs,ctrl,0,4,2242459,1399745
zjs,prop_site,20000000,4,7506489276,1244620948
zjs,site0,20000000,4,6906932111,1426362736
zjs,site1,20000000,4,8247487028,1654589532
zjs,getter_typed,20000000,4,9007987085,1739913358
zjs,getter_native,20000000,4,9828624321,1974299402
zjs,method_managed,20000000,4,10307929577,2029485426
zjs,method_typed,20000000,4,7066459920,1283625978
zjs,leaf_state,20000000,4,5605668156,948642399
zjs,leaf2,20000000,4,5725507378,859186175
zjs,n2j0,20000000,4,8067300952,1553674258
zjs,n2j1,20000000,4,9287747417,1779533786
zjs,hostm2,20000000,4,10087915052,1907655842
zjs,host0,20000000,4,8606867265,1446405721
zjs,host2,20000000,4,9166970995,1517798975
zjs,builtin,20000000,4,5125304445,765752588
zjs,ctrl,20000000,4,4059584959,725377752
zjs,ctrl,0,4,3466858,1999106
