engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3548311,6515372
zjs,ctrl,20000000,1,4059728284,728275425
zjs,builtin,20000000,1,5125268751,765456861
zjs,host2,20000000,1,9106905610,1506738273
zjs,host0,20000000,1,8546747583,1419832943
zjs,hostm2,20000000,1,9947844247,1880626253
zjs,n2j1,20000000,1,8247014250,1464834381
zjs,n2j0,20000000,1,7286432964,1220508653
zjs,leaf2,20000000,1,5725401754,857928532
zjs,leaf_state,20000000,1,5605554631,934963816
zjs,method_managed,20000000,1,9507675412,1885859412
zjs,site1,20000000,1,6626558755,1293457728
zjs,site0,20000000,1,5525983134,1067094362
zjs,prop_site,20000000,1,7466291847,1249026797
qjs,ctrl,0,1,2252074,1625104
qjs,ctrl,20000000,1,6592581473,951839286
qjs,builtin,20000000,1,8505350269,1377149299
qjs,host2,20000000,1,9886106953,1671461276
qjs,host0,20000000,1,8345581551,1410249853
qjs,n2j1,20000000,1,5944770506,958703521
qjs,n2j0,20000000,1,3703833287,563903754
qjs,leaf2,20000000,1,9885972781,1659973205
qjs,leaf_state,20000000,1,8925836244,1515417820
qjs,method_typed,20000000,1,11307061127,2150052109
qjs,method_managed,20000000,1,10626842256,2018423609
qjs,getter_native,20000000,1,10486953557,2009704815
qjs,getter_typed,20000000,1,10487082297,2013142891
qjs,site1,20000000,1,5944583646,959906678
qjs,site0,20000000,1,3703752203,582718561
qjs,prop_site,20000000,1,6284444801,923217010
qjs,prop_site,20000000,2,6284445409,917888105
qjs,site0,20000000,2,3703792436,567895532
qjs,site1,20000000,2,5944615792,965942826
qjs,getter_typed,20000000,2,10487048028,2011854723
qjs,getter_native,20000000,2,10486952801,2012422568
qjs,method_managed,20000000,2,10626910886,2026238119
qjs,method_typed,20000000,2,11307014242,2144496656
qjs,leaf_state,20000000,2,8925571529,1510750280
qjs,leaf2,20000000,2,9885904321,1661053909
qjs,n2j0,20000000,2,3703677950,566398036
qjs,n2j1,20000000,2,5944626087,963817106
qjs,host0,20000000,2,8345408825,1414632483
qjs,host2,20000000,2,9886091126,1664360163
qjs,builtin,20000000,2,8505426545,1419387689
qjs,ctrl,20000000,2,6592501646,982758325
qjs,ctrl,0,2,2241554,1371272
zjs,prop_site,20000000,2,7466492645,1253310580
zjs,site0,20000000,2,5526160354,1149771495
zjs,site1,20000000,2,6626591658,1300697680
zjs,method_managed,20000000,2,9507490917,1864110271
zjs,leaf_state,20000000,2,5605514127,943053365
zjs,leaf2,20000000,2,5725352772,857520804
zjs,n2j0,20000000,2,7286445470,1232569203
zjs,n2j1,20000000,2,8247070862,1462807821
zjs,hostm2,20000000,2,9947764436,1886203719
zjs,host0,20000000,2,8546728750,1419180511
zjs,host2,20000000,2,9106950003,1501223122
zjs,builtin,20000000,2,5125117315,766232196
zjs,ctrl,20000000,2,4059559034,722509323
zjs,ctrl,0,2,3392224,2232812
zjs,ctrl,0,3,3392067,2063960
zjs,ctrl,20000000,3,4059728558,729774530
zjs,builtin,20000000,3,5125107125,765015624
zjs,host2,20000000,3,9106816410,1503961243
zjs,host0,20000000,3,8546685467,1414399788
zjs,hostm2,20000000,3,9947633261,1887227483
zjs,n2j1,20000000,3,8246920273,1463151987
zjs,n2j0,20000000,3,7286238092,1220599033
zjs,leaf2,20000000,3,5725484322,859005232
zjs,leaf_state,20000000,3,5605519527,943979268
zjs,method_managed,20000000,3,9507550691,1855549892
zjs,site1,20000000,3,6626603962,1322596513
zjs,site0,20000000,3,5526186367,1066857111
zjs,prop_site,20000000,3,7466318603,1248942369
qjs,ctrl,0,3,2236036,1479238
qjs,ctrl,20000000,3,6592662673,953925850
qjs,builtin,20000000,3,8505377932,1378227697
qjs,host2,20000000,3,9886312486,1660914022
qjs,host0,20000000,3,8345647521,1414620799
qjs,n2j1,20000000,3,5944667565,959908866
qjs,n2j0,20000000,3,3703751662,557424461
qjs,leaf2,20000000,3,9886217535,1658546578
qjs,leaf_state,20000000,3,8925869519,1516910060
qjs,method_typed,20000000,3,11307387294,2145096125
qjs,method_managed,20000000,3,10626993200,2013792718
qjs,getter_native,20000000,3,10487161005,2011570023
qjs,getter_typed,20000000,3,10487158926,2014935767
qjs,site1,20000000,3,5944779282,961599871
qjs,site0,20000000,3,3703777597,557872800
qjs,prop_site,20000000,3,6284462187,918048569
qjs,prop_site,20000000,4,6284644759,922162243
qjs,site0,20000000,4,3703834557,579431539
qjs,site1,20000000,4,5944645975,959598774
qjs,getter_typed,20000000,4,10487151506,2011726134
qjs,getter_native,20000000,4,10487341114,2011977923
qjs,method_managed,20000000,4,10627011090,2015662335
qjs,method_typed,20000000,4,11307149769,2149164472
qjs,leaf_state,20000000,4,8925656078,1514771026
qjs,leaf2,20000000,4,9886089520,1657018362
qjs,n2j0,20000000,4,3703804948,583042854
qjs,n2j1,20000000,4,5944634698,963241475
qjs,host0,20000000,4,8345442495,1416021499
qjs,host2,20000000,4,9886064669,1657886618
qjs,builtin,20000000,4,8505445090,1377667251
qjs,ctrl,20000000,4,6592331098,952424226
qjs,ctrl,0,4,2236708,1471688
zjs,prop_site,20000000,4,7466481400,1234240938
zjs,site0,20000000,4,5525946094,1070865043
zjs,site1,20000000,4,6626674028,1295863374
zjs,method_managed,20000000,4,9507764158,1854746074
zjs,leaf_state,20000000,4,5605528568,947228416
zjs,leaf2,20000000,4,5725392841,859091669
zjs,n2j0,20000000,4,7286348878,1222805784
zjs,n2j1,20000000,4,8246856729,1460762263
zjs,hostm2,20000000,4,9947593005,1886478647
zjs,host0,20000000,4,8546585660,1421072591
zjs,host2,20000000,4,9106837170,1514569097
zjs,builtin,20000000,4,5125221195,766861494
zjs,ctrl,20000000,4,4059578692,723300555
zjs,ctrl,0,4,3404692,2318916
