engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3528367,6426725
zjs,ctrl,20000000,1,4059443613,726981639
zjs,builtin,20000000,1,5124974644,765432602
zjs,host2,20000000,1,9106567812,1502374531
zjs,host0,20000000,1,8546322580,1425164459
zjs,hostm2,20000000,1,9947224224,1891389217
zjs,n2j1,20000000,1,9267166413,1751365399
zjs,n2j0,20000000,1,8066767435,1564641121
zjs,leaf2,20000000,1,5725474037,859152453
zjs,leaf_state,20000000,1,5605369870,944657211
zjs,method_managed,20000000,1,9507253492,1903463520
zjs,site1,20000000,1,8226930777,1631117003
zjs,site0,20000000,1,6926420734,1447809942
zjs,prop_site,20000000,1,7466085863,1243714081
qjs,ctrl,0,1,2288507,3083304
qjs,ctrl,20000000,1,6592286482,955783566
qjs,builtin,20000000,1,8505172844,1379107955
qjs,host2,20000000,1,9885747637,1657347758
qjs,host0,20000000,1,8345207287,1422357541
qjs,n2j1,20000000,1,5944422138,957619494
qjs,n2j0,20000000,1,3703651471,582737771
qjs,leaf2,20000000,1,9885571495,1657461835
qjs,leaf_state,20000000,1,8925736579,1517643027
qjs,method_typed,20000000,1,11306746769,2142677252
qjs,method_managed,20000000,1,10626410734,2016331456
qjs,getter_native,20000000,1,10486560483,2008683377
qjs,getter_typed,20000000,1,10486664128,2011222956
qjs,site1,20000000,1,5944331320,952944871
qjs,site0,20000000,1,3703539042,567010732
qjs,prop_site,20000000,1,6284305579,921008664
qjs,prop_site,20000000,2,6284293127,919438080
qjs,site0,20000000,2,3703502094,557181932
qjs,site1,20000000,2,5944479839,960299007
qjs,getter_typed,20000000,2,10486581293,2012717863
qjs,getter_native,20000000,2,10486674297,2009143042
qjs,method_managed,20000000,2,10626498472,2011971769
qjs,method_typed,20000000,2,11306554698,2150330107
qjs,leaf_state,20000000,2,8925497743,1513564734
qjs,leaf2,20000000,2,9885690405,1656367616
qjs,n2j0,20000000,2,3703551815,566349772
qjs,n2j1,20000000,2,5944335191,960199035
qjs,host0,20000000,2,8345259532,1413493779
qjs,host2,20000000,2,9885812792,1657523659
qjs,builtin,20000000,2,8505270008,1376076013
qjs,ctrl,20000000,2,6592130799,951593729
qjs,ctrl,0,2,2326710,1723203
zjs,prop_site,20000000,2,7466345967,1252415905
zjs,site0,20000000,2,6926579772,1448768759
zjs,site1,20000000,2,8226869662,1632568758
zjs,method_managed,20000000,2,9507572646,2076651899
zjs,leaf_state,20000000,2,5605249456,945865323
zjs,leaf2,20000000,2,5725097738,859717330
zjs,n2j0,20000000,2,8066688360,1543162799
zjs,n2j1,20000000,2,9267103551,1751076478
zjs,hostm2,20000000,2,9947064891,1883665106
zjs,host0,20000000,2,8546138316,1424193087
zjs,host2,20000000,2,9106579186,1512192904
zjs,builtin,20000000,2,5124967736,766532944
zjs,ctrl,20000000,2,4059312292,723197069
zjs,ctrl,0,2,3384790,2634157
zjs,ctrl,0,3,3482672,2718583
zjs,ctrl,20000000,3,4059547281,724109270
zjs,builtin,20000000,3,5124957672,769157182
zjs,host2,20000000,3,9106463761,1506787164
zjs,host0,20000000,3,8546227304,1445087527
zjs,hostm2,20000000,3,9947164244,1889521950
zjs,n2j1,20000000,3,9267169485,1761528642
zjs,n2j0,20000000,3,8066751496,1557848433
zjs,leaf2,20000000,3,5725134464,858198440
zjs,leaf_state,20000000,3,5605279384,943193311
zjs,method_managed,20000000,3,9507211843,1931202680
zjs,site1,20000000,3,8226871840,1631714579
zjs,site0,20000000,3,6926477067,1449749294
zjs,prop_site,20000000,3,7466037692,1233580835
qjs,ctrl,0,3,2270862,1725595
qjs,ctrl,20000000,3,6592241929,956302742
qjs,builtin,20000000,3,8505129377,1379941030
qjs,host2,20000000,3,9885648486,1663191377
qjs,host0,20000000,3,8345244826,1416975395
qjs,n2j1,20000000,3,5944255682,956263059
qjs,n2j0,20000000,3,3703504851,566430950
qjs,leaf2,20000000,3,9885632813,1659399474
qjs,leaf_state,20000000,3,8925349326,1510359125
qjs,method_typed,20000000,3,11306556510,2154986833
qjs,method_managed,20000000,3,10626312730,2016699047
qjs,getter_native,20000000,3,10486565518,2010749790
qjs,getter_typed,20000000,3,10486728876,2011643372
qjs,site1,20000000,3,5944302792,960444806
qjs,site0,20000000,3,3703523859,562482281
qjs,prop_site,20000000,3,6284323824,925122782
qjs,prop_site,20000000,4,6284183162,918884687
qjs,site0,20000000,4,3703528699,566665176
qjs,site1,20000000,4,5944313850,955102953
qjs,getter_typed,20000000,4,10486661103,2013854941
qjs,getter_native,20000000,4,10486709087,2011950893
qjs,method_managed,20000000,4,10626442981,2013189946
qjs,method_typed,20000000,4,11306647448,2148168192
qjs,leaf_state,20000000,4,8925508976,1520416970
qjs,leaf2,20000000,4,9885596049,1659550611
qjs,n2j0,20000000,4,3703470226,565946967
qjs,n2j1,20000000,4,5944258407,961993838
qjs,host0,20000000,4,8345087354,1411923691
qjs,host2,20000000,4,9885729965,1661635558
qjs,builtin,20000000,4,8505014160,1377615201
qjs,ctrl,20000000,4,6592184577,959168187
qjs,ctrl,0,4,2249131,1566567
zjs,prop_site,20000000,4,7466174592,1244378527
zjs,site0,20000000,4,6926660598,1447905016
zjs,site1,20000000,4,8226978749,1633725251
zjs,method_managed,20000000,4,9507411075,2020151177
zjs,leaf_state,20000000,4,5605319382,947334104
zjs,leaf2,20000000,4,5725119062,860005724
zjs,n2j0,20000000,4,8066743281,1564014226
zjs,n2j1,20000000,4,9267195972,1755870731
zjs,hostm2,20000000,4,9947270682,1887458216
zjs,host0,20000000,4,8546256680,1421368188
zjs,host2,20000000,4,9106469290,1502913285
zjs,builtin,20000000,4,5124998703,768218642
zjs,ctrl,20000000,4,4059369501,720079974
zjs,ctrl,0,4,3391864,2447838
