engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3385461,2693844
zjs,ctrl,20000000,1,4059542459,729302544
zjs,builtin,20000000,1,11308392090,2157342275
zjs,host2,20000000,1,13569249537,2515967689
zjs,host0,20000000,1,13728783168,2425167694
zjs,hostm2,20000000,1,85791414924,12579120077
zjs,plugin2,20000000,1,88932788916,13182232564
zjs,n2j1,20000000,1,31120828047,7751211965
zjs,n2j0,20000000,1,28339073793,6947194962
qjs,ctrl,0,1,2224755,1571327
qjs,ctrl,20000000,1,6592576707,952855241
qjs,builtin,20000000,1,8505453774,1377624168
qjs,host2,20000000,1,9885873231,1660723659
qjs,host0,20000000,1,8345413268,1414860442
qjs,n2j1,20000000,1,5824618189,954958227
qjs,n2j0,20000000,1,3703686743,574753432
qjs,n2j0,20000000,2,3703598485,559707545
qjs,n2j1,20000000,2,5824668058,955362542
qjs,host0,20000000,2,8345543764,1412071028
qjs,host2,20000000,2,9886043578,1659056385
qjs,builtin,20000000,2,8505389480,1377928798
qjs,ctrl,20000000,2,6592670973,977720003
qjs,ctrl,0,2,2208578,1350194
zjs,n2j0,20000000,2,28339054116,6959157888
zjs,n2j1,20000000,2,31121104177,7918088020
zjs,plugin2,20000000,2,88932479404,13181149209
zjs,hostm2,20000000,2,85790506707,12596963750
zjs,host0,20000000,2,13728837522,2432462326
zjs,host2,20000000,2,13568946676,2517086738
zjs,builtin,20000000,2,11308113402,2148654895
zjs,ctrl,20000000,2,4059372153,726315789
zjs,ctrl,0,2,3384072,2108199
zjs,ctrl,0,3,3373997,2001019
zjs,ctrl,20000000,3,4059759256,723250238
zjs,builtin,20000000,3,11308227661,2125868741
zjs,host2,20000000,3,13569000092,2527120159
zjs,host0,20000000,3,13728747860,2426120406
zjs,hostm2,20000000,3,85790662054,12618701480
zjs,plugin2,20000000,3,88932228237,13269426725
zjs,n2j1,20000000,3,31120725365,7756919705
zjs,n2j0,20000000,3,28338573238,6831935617
qjs,ctrl,0,3,2212343,1564385
qjs,ctrl,20000000,3,6592491835,955741684
qjs,builtin,20000000,3,8505453903,1386485580
qjs,host2,20000000,3,9886088510,1659776503
qjs,host0,20000000,3,8345607324,1414113348
qjs,n2j1,20000000,3,5824497542,956309748
qjs,n2j0,20000000,3,3703736376,586378877
qjs,n2j0,20000000,4,3703838265,574629318
qjs,n2j1,20000000,4,5824676093,954404309
qjs,host0,20000000,4,8345415992,1417980809
qjs,host2,20000000,4,9886134657,1659138791
qjs,builtin,20000000,4,8505476787,1377654223
qjs,ctrl,20000000,4,6592516694,953520388
qjs,ctrl,0,4,2218784,1339269
zjs,n2j0,20000000,4,28339027708,6829410978
zjs,n2j1,20000000,4,31121068541,7944759835
zjs,plugin2,20000000,4,88933981071,13647917454
zjs,hostm2,20000000,4,85790764026,12577845580
zjs,host0,20000000,4,13728672816,2393714156
zjs,host2,20000000,4,13569834973,2688794313
zjs,builtin,20000000,4,11308267431,2158639758
zjs,ctrl,20000000,4,4059491115,730075119
zjs,ctrl,0,4,3396941,2001724
