engine,case,n,sample,instructions,cycles
zjs,ctrl,0,1,3396821,2569202
zjs,ctrl,20000000,1,4059623411,724202809
zjs,builtin,20000000,1,8446637607,1392993652
zjs,host2,20000000,1,10447923645,1833459481
zjs,host0,20000000,1,9947690582,1797042738
zjs,hostm2,20000000,1,11968969422,2286149450
zjs,plugin2,20000000,1,15111008701,3096198406
zjs,n2j1,20000000,1,12290331586,2818616384
zjs,n2j0,20000000,1,11109531001,2411500704
qjs,ctrl,0,1,2204921,1583220
qjs,ctrl,20000000,1,6592866878,979757513
qjs,builtin,20000000,1,8505651168,1378589016
qjs,host2,20000000,1,9886290627,1665355395
qjs,host0,20000000,1,8345634481,1413481445
qjs,n2j1,20000000,1,5824648879,953508106
qjs,n2j0,20000000,1,3703769725,559576161
qjs,n2j0,20000000,2,3703605014,563002593
qjs,n2j1,20000000,2,5824674999,957477848
qjs,host0,20000000,2,8345604542,1413345075
qjs,host2,20000000,2,9886333734,1661834412
qjs,builtin,20000000,2,8505595209,1375446364
qjs,ctrl,20000000,2,6592606392,952809149
qjs,ctrl,0,2,2210653,1444200
zjs,n2j0,20000000,2,11109272494,2376528344
zjs,n2j1,20000000,2,12290115053,2735478765
zjs,plugin2,20000000,2,15110872789,3076076865
zjs,hostm2,20000000,2,11969019476,2282884790
zjs,host0,20000000,2,9947796360,1789966220
zjs,host2,20000000,2,10447864631,1834771763
zjs,builtin,20000000,2,8446742699,1395214298
zjs,ctrl,20000000,2,4059498579,727402824
zjs,ctrl,0,2,3372372,2301326
zjs,ctrl,0,3,3428061,2088632
zjs,ctrl,20000000,3,4059471736,720858179
zjs,builtin,20000000,3,8446755506,1387488548
zjs,host2,20000000,3,10447824922,1837571137
zjs,host0,20000000,3,9947593946,1791383857
zjs,hostm2,20000000,3,11968847488,2284490010
zjs,plugin2,20000000,3,15110743351,3080366615
zjs,n2j1,20000000,3,12290100183,2736576482
zjs,n2j0,20000000,3,11109322474,2382823114
qjs,ctrl,0,3,2222343,1674806
qjs,ctrl,20000000,3,6592633378,953736393
qjs,builtin,20000000,3,8505624454,1380207539
qjs,host2,20000000,3,9886130533,1661453742
qjs,host0,20000000,3,8345464711,1412642766
qjs,n2j1,20000000,3,5824549718,953111211
qjs,n2j0,20000000,3,3703796289,590756854
qjs,n2j0,20000000,4,3703657030,571165153
qjs,n2j1,20000000,4,5824596735,955592010
qjs,host0,20000000,4,8345754360,1414989749
qjs,host2,20000000,4,9886265029,1664023395
qjs,builtin,20000000,4,8505610011,1379490498
qjs,ctrl,20000000,4,6592634506,980819287
qjs,ctrl,0,4,2206834,1577701
zjs,n2j0,20000000,4,11109324873,2410906962
zjs,n2j1,20000000,4,12290134099,2731526525
zjs,plugin2,20000000,4,15111042331,3081671081
zjs,hostm2,20000000,4,11969107110,2287277779
zjs,host0,20000000,4,9947889263,1805321145
zjs,host2,20000000,4,10447803598,1847644697
zjs,builtin,20000000,4,8446995091,1397687223
zjs,ctrl,20000000,4,4059532098,721501547
zjs,ctrl,0,4,3353692,2427881
