engine,case,sample,instructions,cycles,task_clock_ms
before,empty,1,3075656,6726630,1727968.000
before,ctrl,1,10152228815,1813633600,465066752.000
before,N1_abs_hoisted,1,12808423336,1911501946,490182976.000
before,N1m_abs_method,1,15260025102,2724283989,698600592.000
before,N2_max3_variadic,1,21011621764,3409803261,874393376.000
before,N3_charcodeat,1,27652082343,5030090500,1289843296.000
before,N3b_charat,1,69117096231,13283772001,3406309568.000
before,N3c_at,1,46831338342,7679972527,1969353520.000
before,N3d_codepointat,1,29702504183,5245801771,1345158272.000
before,N4_hasown_string,1,33762887458,6270831917,1608001088.000
before,N5_push_pop,1,23564045218,4742504249,1216098992.000
before,N6_fcall,1,23887212537,4017681431,1030237104.000
before,N7_fapply,1,33367604387,6345094324,1627041392.000
before,C1_foreach8,1,25067922775,4794634293,1229468384.000
before,C2_reduce8,1,33181670507,6145492910,1575861984.000
before,C3_map8,1,43589125858,8058282619,2066370016.000
before,C4_sort8,1,15985856909,3092339045,792956336.000
before,C5_replace_fn,1,42073473599,9811716099,2515993856.000
after,empty,1,2944528,2327909,598944.000
after,ctrl,1,10152281505,1803800094,462543760.000
after,N1_abs_hoisted,1,12808147480,1908062053,489282224.000
after,N1m_abs_method,1,15309906085,2725510823,698893760.000
after,N2_max3_variadic,1,21511550298,3440736937,882298736.000
after,N3_charcodeat,1,19497973844,3172789651,813586672.000
after,N3b_charat,1,35822712437,5648820508,1448549904.000
after,N3c_at,1,37616209562,5936942599,1522448080.000
after,N3d_codepointat,1,19547889575,3186746722,817166096.000
after,N4_hasown_string,1,34713578195,6373222210,1634270128.000
after,N5_push_pop,1,23940055248,4853544882,1244574016.000
after,N6_fcall,1,23962212511,3836625575,983811024.000
after,N7_fapply,1,33843064892,6376725349,1635156160.000
after,C1_foreach8,1,25047985387,4851648654,1244087744.000
after,C2_reduce8,1,33161532725,6105864406,1565699024.000
after,C3_map8,1,43566891016,8107493893,2079020208.000
after,C4_sort8,1,15978060671,3210394307,823233440.000
after,C5_replace_fn,1,42037883699,9717857015,2491937168.000
qjs,empty,1,2271412,1647007,424208.000
qjs,ctrl,1,15345923617,2030766830,520747280.000
qjs,N1_abs_hoisted,1,21460156232,3375550892,865597264.000
qjs,N1m_abs_method,1,25062686936,4511979104,1156989840.000
qjs,N2_max3_variadic,1,24361045118,3770611723,966885216.000
qjs,N3_charcodeat,1,32956654236,4849909207,1243646528.000
qjs,N3b_charat,1,45767120687,6549955747,1679587344.000
qjs,N3c_at,1,47368014133,6755919154,1732394048.000
qjs,N3d_codepointat,1,33357050535,4937221989,1266079808.000
qjs,N4_hasown_string,1,46007097840,7022337365,1799759232.000
qjs,N5_push_pop,1,33589053194,5165377443,1324542544.000
qjs,N6_fcall,1,17984112955,3052937547,782871744.000
qjs,N7_fapply,1,28912434699,4427063765,1135277888.000
qjs,C1_foreach8,1,22455320446,2969879950,761555216.000
qjs,C2_reduce8,1,21468960236,2891957571,741576416.000
qjs,C3_map8,1,43371017646,6044582331,1548999280.000
qjs,C4_sort8,1,14610781071,1943216218,498294272.000
qjs,C5_replace_fn,1,33102021525,5245845841,1345178944.000
qjs,C5_replace_fn,2,33102258740,5298851912,1358802016.000
qjs,C4_sort8,2,14610756677,1941518946,497858560.000
qjs,C3_map8,2,43370983539,6159061375,1578369664.000
qjs,C2_reduce8,2,21468981792,2896897959,742849776.000
qjs,C1_foreach8,2,22455101311,2945961436,755527440.000
qjs,N7_fapply,2,28913030797,4480017001,1148797104.000
qjs,N6_fcall,2,17984781855,3049054584,781859040.000
qjs,N5_push_pop,2,33590199193,5180209742,1328343024.000
qjs,N4_hasown_string,2,46008374858,6958847350,1784460400.000
qjs,N3d_codepointat,2,33358068597,4951854560,1269793760.000
qjs,N3c_at,2,47369149066,6746849347,1730082032.000
qjs,N3b_charat,2,45769498105,6540062022,1677062800.000
qjs,N3_charcodeat,2,32957615008,4857939678,1245701712.000
qjs,N2_max3_variadic,2,24362186373,3775296562,968089408.000
qjs,N1m_abs_method,2,25064199102,4537663220,1163574768.000
qjs,N1_abs_hoisted,2,21460087645,3377896413,866180496.000
qjs,ctrl,2,15345874991,2031685838,520980672.000
qjs,empty,2,2290548,1577342,407072.000
after,C5_replace_fn,2,42188665656,9916814726,2542942928.000
after,C4_sort8,2,15977761718,3112784622,798200576.000
after,C3_map8,2,43571665835,8605551502,2206763856.000
