engine,case,sample,instructions,cycles,task_clock_ms
zjs,empty,1,2925792,1871467,481616.000
zjs,ctrl,1,10152772860,1818895530,466446432.000
zjs,N1_abs_hoisted,1,21112708584,3484281275,893498096.000
zjs,N1m_abs_method,1,25266010733,4805104749,1232356288.000
zjs,N2_max3_variadic,1,20511579158,3322893597,852095040.000
zjs,N3_charcodeat,1,28553124958,5039148357,1292196080.000
zjs,N4_hasown_string,1,34714424244,6079926673,1559225856.000
zjs,N5_push_pop,1,24364612503,4783153203,1226530496.000
zjs,N6_fcall,1,23812139641,3792088099,972395440.000
zjs,N7_fapply,1,33642950155,6267557070,1607172960.000
zjs,C1_foreach8,1,25174237748,4914247294,1260144448.000
zjs,C2_reduce8,1,33298436593,6112002676,1567300464.000
zjs,C3_map8,1,43694413847,8079171227,2071805632.000
zjs,C4_sort8,1,15930540375,3062534389,785318512.000
zjs,C5_replace_fn,1,42412188447,10011314841,2567256000.000
qjs,empty,1,2270241,1684762,434944.000
qjs,ctrl,1,15345846314,2057181758,527520848.000
qjs,N1_abs_hoisted,1,21460144849,3378881994,866435760.000
qjs,N1m_abs_method,1,25062711206,4527173878,1147649888.000
qjs,N2_max3_variadic,1,24360723575,3784070743,953264272.000
qjs,N3_charcodeat,1,32956466769,4861479884,1224649200.000
qjs,N4_hasown_string,1,46006467054,7014259562,1769520992.000
qjs,N5_push_pop,1,33588585797,5173896636,1305407360.000
qjs,N6_fcall,1,17984018380,3050152955,768084400.000
qjs,N7_fapply,1,28911925294,4415288716,1113604608.000
qjs,C1_foreach8,1,22454958839,2975914884,763111312.000
qjs,C2_reduce8,1,21468937731,2903886156,744635344.000
qjs,C3_map8,1,43371103096,6107393964,1566110432.000
qjs,C4_sort8,1,14611076028,1943197010,498288688.000
qjs,C5_replace_fn,1,33103459825,5308988733,1361364496.000
qjs,C5_replace_fn,2,33102849743,5308462866,1361229456.000
qjs,C4_sort8,2,14611171534,1946107700,499037440.000
qjs,C3_map8,2,43372772171,6279627286,1610272336.000
