engine,case,sample,instructions,cycles,task_clock_ms
zjs,empty,1,3093073,8598755,2209120.000
zjs,ctrl,1,10152414226,1798066313,461075632.000
zjs,N1_abs_hoisted,1,12808004656,1910267615,489848144.000
zjs,N1m_abs_method,1,15259766095,2727106320,699305504.000
zjs,N2_max3_variadic,1,21561237561,3414746165,875635552.000
zjs,N3_charcodeat,1,28280581681,5057909579,1296984192.000
zjs,N4_hasown_string,1,34412544418,6315141250,1619368848.000
zjs,N5_push_pop,1,23688586185,4696247905,1204242048.000
zjs,N6_fcall,1,23936426049,3841924665,985172592.000
zjs,N7_fapply,1,33442143894,6261101996,1605575920.000
zjs,C1_foreach8,1,22230759281,4173726531,1070255648.000
zjs,C2_reduce8,1,21131856910,4134723715,1060252992.000
zjs,C3_map8,1,40737120249,7443144783,1908659600.000
zjs,C4_sort8,1,14310846992,2697937362,691828592.000
zjs,C5_replace_fn,1,41799773607,9732090557,2494893264.000
qjs,empty,1,2270409,1876802,483712.000
qjs,ctrl,1,15346210833,2032137761,521088656.000
qjs,N1_abs_hoisted,1,21460814130,3376549139,865108608.000
qjs,N1m_abs_method,1,25063514052,4553214686,1167581376.000
qjs,N2_max3_variadic,1,24361517264,3768898142,966462768.000
qjs,N3_charcodeat,1,32957861527,4849486959,1243547120.000
qjs,N4_hasown_string,1,46008400435,6985018200,1791140480.000
qjs,N5_push_pop,1,33590279535,5208808978,1335685136.000
qjs,N6_fcall,1,17984585778,3054553039,783269360.000
qjs,N7_fapply,1,28912889804,4450686897,1141274416.000
qjs,C1_foreach8,1,22456206542,3118209732,799597856.000
qjs,C2_reduce8,1,21470255149,3180988851,815694336.000
qjs,C3_map8,1,43372415134,6114903868,1568022448.000
qjs,C4_sort8,1,14611627638,2169182036,556239200.000
qjs,C5_replace_fn,1,33102445139,5313761549,1362586672.000
qjs,C5_replace_fn,2,33102336487,5279013803,1353676512.000
qjs,C4_sort8,2,14610859015,1959835600,502555264.000
qjs,C3_map8,2,43371353209,6105145578,1565516416.000
qjs,C2_reduce8,2,21468953519,2894881587,742324544.000
qjs,C1_foreach8,2,22455165799,2946634772,755597392.000
qjs,N7_fapply,2,28912265026,4416292120,1132451840.000
qjs,N6_fcall,2,17984348358,3058096245,784177584.000
qjs,N5_push_pop,2,33588946710,5155048204,1321886016.000
