engine,case,sample,instructions,cycles,task_clock_ms
zjs,empty,1,3057869,6648763,1707968.000
zjs,ctrl,1,10151968165,1811340256,464478336.000
zjs,N1_abs_hoisted,1,12807807346,1912025025,490295888.000
zjs,N1m_abs_method,1,15259375893,2719316237,697305440.000
zjs,N2_max3_variadic,1,21561035096,3449669001,884587920.000
zjs,N3_charcodeat,1,28300986922,4991032809,1279827936.000
zjs,N4_hasown_string,1,34411443764,6303278365,1616321760.000
zjs,N5_push_pop,1,23687840458,4679087121,1199842976.000
zjs,N6_fcall,1,23885989758,3883615162,995859360.000
zjs,N7_fapply,1,33691214100,6262458380,1605858272.000
zjs,C1_foreach8,1,25028301765,4863049254,1247067344.000
zjs,C2_reduce8,1,33141411665,6117374487,1568653648.000
zjs,C3_map8,1,43516064446,8122374066,2082855680.000
zjs,C4_sort8,1,15969964060,3101407582,795294816.000
zjs,C5_replace_fn,1,41818143912,9718308277,2492035024.000
qjs,empty,1,2268543,1699516,438304.000
qjs,ctrl,1,15345742036,2033526356,521452256.000
qjs,N1_abs_hoisted,1,21460468262,3450959113,884919344.000
qjs,N1m_abs_method,1,25063153090,4506288248,1155534080.000
qjs,N2_max3_variadic,1,24361266630,3771060307,967007552.000
qjs,N3_charcodeat,1,32957256669,4855730034,1245149824.000
qjs,N4_hasown_string,1,46007401397,6977603112,1789260240.000
qjs,N5_push_pop,1,33589289841,5164898089,1324432368.000
qjs,N6_fcall,1,17984357596,3051727023,782546256.000
qjs,N7_fapply,1,28912361364,4412709092,1131535360.000
qjs,C1_foreach8,1,22455265112,2947728600,755905984.000
qjs,C2_reduce8,1,21468970124,2893649511,742029200.000
qjs,C3_map8,1,43371618612,6183332531,1584387360.000
qjs,C4_sort8,1,14611164443,2009877248,515398160.000
qjs,C5_replace_fn,1,33102519508,5265897153,1350320912.000
qjs,C5_replace_fn,2,33102529376,5285489490,1355360912.000
qjs,C4_sort8,2,14611110730,1945067910,498774032.000
qjs,C3_map8,2,43391283546,6059186535,1553188688.000
qjs,C2_reduce8,2,21469412835,2893074303,741880496.000
qjs,C1_foreach8,2,22455292235,2944718573,755120336.000
qjs,N7_fapply,2,28912912657,4415763486,1132355840.000
qjs,N6_fcall,2,17984870417,3050649903,782305472.000
qjs,N5_push_pop,2,33589314860,5156900695,1322487872.000
qjs,N4_hasown_string,2,46007019973,6967158924,1787020240.000
qjs,N3_charcodeat,2,32956845739,4848990642,1243779808.000
qjs,N2_max3_variadic,2,24361072120,3777093251,968660416.000
qjs,N1m_abs_method,2,25062855971,4530752552,1162045472.000
qjs,N1_abs_hoisted,2,21460836836,3374727982,865512416.000
qjs,ctrl,2,15345815785,2049747160,525753568.000
qjs,empty,2,2274823,1572585,405312.000
zjs,C5_replace_fn,2,41877366926,9844728564,2524822176.000
zjs,C4_sort8,2,15969984094,3094868819,793976608.000
zjs,C3_map8,2,43506828203,8093423328,2076335984.000
zjs,C2_reduce8,2,33141503566,6110130344,1567218112.000
zjs,C1_foreach8,2,25027673255,4777493773,1225292480.000
zjs,N7_fapply,2,33692861734,6360073535,1631084912.000
zjs,N6_fcall,2,23886455873,3825292149,981030032.000
zjs,N5_push_pop,2,23688888767,4677211323,1199447072.000
zjs,N4_hasown_string,2,34412680493,6316931789,1618907184.000
zjs,N3_charcodeat,2,28302372129,5005534859,1283613600.000
zjs,N2_max3_variadic,2,21561619036,3445780532,883658784.000
zjs,N1m_abs_method,2,15260059553,2716821755,696780064.000
zjs,N1_abs_hoisted,2,12808144648,1905740496,488726240.000
zjs,ctrl,2,10152318738,1814879781,465461968.000
zjs,empty,2,2913983,2240646,576480.000
zjs,empty,3,2911553,2012120,522224.000
zjs,ctrl,3,10152300044,1803894838,462595456.000
zjs,N1_abs_hoisted,3,12808106760,1903120337,488083888.000
zjs,N1m_abs_method,3,15259903548,2717769370,697056576.000
zjs,N2_max3_variadic,3,21561474526,3461218421,887641632.000
zjs,N3_charcodeat,3,28302369544,5001450335,1279508656.000
zjs,N4_hasown_string,3,34412848777,6360784517,1631074208.000
zjs,N5_push_pop,3,23688702130,4679026041,1199861840.000
zjs,N6_fcall,3,23886768419,3835404480,983533744.000
zjs,N7_fapply,3,33692510055,6258484999,1604922976.000
zjs,C1_foreach8,3,25028264006,4878388952,1250948000.000
zjs,C2_reduce8,3,33142042860,6113835350,1567810768.000
zjs,C3_map8,3,43499534823,8111483256,2080253712.000
zjs,C4_sort8,3,15970284288,3099000712,794682320.000
zjs,C5_replace_fn,3,42241620911,9798729429,2512752608.000
qjs,empty,3,2270238,1720827,443248.000
qjs,ctrl,3,15346096542,2029751614,520602512.000
