engine,case,n,sample,instructions,cycles
qjs,ctrl,0,1,2254029,1569908
qjs,ctrl,20000000,1,6592565166,953915860
qjs,builtin,20000000,1,8505340739,1374001053
qjs,host2,20000000,1,9886122779,1659609779
qjs,host0,20000000,1,8345590528,1414844923
qjs,n2j1,20000000,1,5944650834,960529327
qjs,n2j0,20000000,1,3703923982,580967112
qjs,leaf2,20000000,1,9886212445,1660415553
qjs,leaf_state,20000000,1,8925779524,1515126221
qjs,method_typed,20000000,1,11307294638,2147704169
qjs,method_managed,20000000,1,10627034253,2013724583
qjs,getter_native,20000000,1,10487085129,2011924463
qjs,getter_typed,20000000,1,10487163249,2012502316
qjs,site1,20000000,1,5944545883,960375110
qjs,site0,20000000,1,3703730234,579600947
qjs,prop_site,20000000,1,6284399536,918268565
qjs,prop_site,20000000,2,6284607825,918397750
qjs,site0,20000000,2,3703841336,582676942
qjs,site1,20000000,2,5944570613,960044843
qjs,getter_typed,20000000,2,10487226527,2011230766
qjs,getter_native,20000000,2,10487232451,2010465956
qjs,method_managed,20000000,2,10627092256,2016315645
qjs,method_typed,20000000,2,11307315966,2149807352
qjs,leaf_state,20000000,2,8925995437,1523840194
qjs,leaf2,20000000,2,9886134266,1661656158
qjs,n2j0,20000000,2,3703766350,562850279
qjs,n2j1,20000000,2,5944544345,962725758
qjs,host0,20000000,2,8345564424,1413974355
qjs,host2,20000000,2,9886133052,1657482587
qjs,builtin,20000000,2,8505536117,1380472450
qjs,ctrl,20000000,2,6592508688,957501552
qjs,ctrl,0,2,2246637,1355234
