ok 2

ZJS opcode profile
  opcodes executed: 97196571
  measured ns:      2894944326
  value dups:       0
  value frees:      25588336
  prop lookups:     103181
  global lookups:   20602
  allocations:      0
  call frames:      633680
  ic hits:          0
  ic misses:        0
  ic invalidations: 0
  ic promote poly:  0
  ic promote mega:  0

OPCODE                 COUNT      TOTAL_NS       AVG_NS       SLOW
get_loc8              13533251     350723909           25          0
call_method            2406856     245387569          101          0
if_false8              6078356     157630497           25          0
add                    2407839     106209543           44          0
get_loc1               4004433     103562382           25          0
lt                     3959622     103282978           26          0
get_loc2               3937732     102112825           25          0
get_array_el           3479498      99056435           28          0
get_arg0               3332059      86418324           25          0
goto8                  3286323      84877041           25          0
get_field2             2465792      73974839           30          0
get_loc3               2804842      72496802           25          0
put_loc8               2552066      72042545           28          0
get_loc0               2702058      69592992           25          0
inc_loc                2397742      63389450           26          0
dup                    2339133      63158523           27          0
push_atom_value        2001634      57714740           28          0
strict_eq              1575297      56007021           35          0
put_array_el           1631799      50687808           31          0
push_i8                1841927      47615913           25          0
push_1                 1775315      45700010           25          0
get_field              1623018      45130141           27          0
eq                     1110032      41512233           37          0
shl                    1427038      37043878           25          0
and                    1307952      36600977           27          0
get_var                1231242      33827112           27          0
put_loc0               1037950      31424208           30          0
if_true8               1105465      28748972           26          0
put_loc1                962744      27786756           28          0
if_false                862553      27467113           31          0
sar                     977287      25371505           25          0
fclosure8               131180      25322974          193          0
drop                    956991      24785288           25          0
or                      908087      23945514           26          0
push_0                  909047      23526199           25          0
add_loc                 753474      22788066           30          0
sub                     858884      22436762           26          0
return                  567966      20624701           36          0
post_inc                738216      19550218           26          0
put_field               702438      19342287           27          0

HOST DISPATCH SITE                                                HITS
dispatch sites with zero hits: 1/1
