binary,case,sample,instructions,cycles,task_clock_ns
zjs,empty,1,2454227,2199255,567152
zjs,ctrl,1,18212650713,3056949115,783886160
zjs,A_direct_call,1,13118107318,2190002624,561580560
zjs,A2_direct_call_ret,1,12057682373,2057942347,527717360
zjs,B_method_call,1,12958153914,2263968148,580545344
zjs,C_apply_array_literal,1,13190178525,2415511265,619409344
zjs,C2_apply_array_hoisted,1,13040334215,2451761816,628702864
zjs,D_apply_arguments,1,13273432134,2484551000,637111808
zjs,E0_arguments_zeroarg,1,8285752791,1321268841,338848064
zjs,E1_arguments_length,1,13127619936,2180009809,559037072
zjs,E2_arguments_index,1,14223589525,2381568587,610725984
zjs,E4_arguments_fourarg,1,17560135509,2998703605,768952144
zjs,F_simple_ctor,1,11557101749,1748459690,448352784
zjs,G_raytrace_ctor,1,15331885027,2951959664,756960464
zjs,H1_prop_read,1,8166484884,1282223677,328799648
zjs,H2_prop_write,1,10447406457,1556001437,399002864
zjs,I_proto_method,1,9199295937,1774252901,454967472
zjs,J_instanceof,1,14454927654,2763552038,708648080
zjs,K1_length_array,1,8446860702,1407499429,360929760
zjs,K2_length_plain,1,9167187089,1564754931,401249008
zjs,L0_ctor_noprops,1,8796891810,1583351413,406016128
zjs,L3_ctor_threeprops,1,13932906251,2092652882,536616736
zjs,M1_proto_data_read,1,8926974742,1437996916,368744688
zjs,L3p_ctor_shadowing,1,26203036059,4271396069,1095301856
zjs,M2_chain_read,1,3885328862,930466446,238599600
zjs,M3_poly_read,1,12689066712,2158866868,553595440
zjs,L4_generic_ctor,1,25992658065,4150347632,1064263728
zjs,L4p_generic_ctor_shadowing,1,25752725225,4111590424,1054325760
qjs,empty,1,2287419,1523604,392624
qjs,ctrl,1,20411940871,3705259030,950128560
qjs,A_direct_call,1,11767060804,1787096299,458262464
qjs,A2_direct_call_ret,1,11182136298,1817930120,466169936
qjs,B_method_call,1,11332295465,1890793951,484852736
qjs,C_apply_array_literal,1,10248459207,1628483161,417590112
qjs,C2_apply_array_hoisted,1,9834487463,1582645164,405836848
