binary,case,sample,instructions,cycles
zjs,CL0,1,2131923863,454403829
zjs,CL1,1,30687646853,5379751923
qjs,CL0,1,2411757450,492370479
qjs,CL1,1,19938212674,3218735596
qjs,CL0,2,2411830579,493234070
qjs,CL1,2,19938307927,3201820008
zjs,CL0,2,2132167784,453438222
zjs,CL1,2,30615910936,5363691438
zjs,CL0,3,2132072435,453725707
zjs,CL1,3,30615569891,5363335046
qjs,CL0,3,2411892067,493809980
qjs,CL1,3,19906087293,3171689289
qjs,CL0,4,2411877300,493516868
qjs,CL1,4,19938213400,3200268202
zjs,CL0,4,2132141911,453408077
zjs,CL1,4,30615439575,5352685814
zjs,CL0,5,2132064504,453623493
zjs,CL1,5,30615433201,5359004774
qjs,CL0,5,2411828364,492648203
qjs,CL1,5,19938260243,3226125722
qjs,CL0,6,2411888177,493394767
qjs,CL1,6,19938192772,3199914072
zjs,CL0,6,2131987696,453601475
zjs,CL1,6,30687714713,5388852680
zjs,CL0,7,2132029553,453664862
zjs,CL1,7,30767920824,5434963432
qjs,CL0,7,2411846438,493657345
qjs,CL1,7,19938327367,3225658407
qjs,CL0,8,2411863113,494183065
qjs,CL1,8,19938458767,3225222008
zjs,CL0,8,2132028944,453825031
zjs,CL1,8,30767768713,5392645677
