binary,case,sample,instructions,cycles
zjs,Jx1,1,9561857529,1555332881
zjs,Jx3,1,26353651895,4347775392
zjs,Gx1,1,2268949507,339100754
zjs,Gx3,1,6140435416,959112792
qjs,Jx1,1,9816335669,1547025420
qjs,Jx3,1,31754340559,4910853924
qjs,Gx1,1,2763802728,412820910
qjs,Gx3,1,12126519458,1563048543
qjs,Jx1,2,9816438675,1547477891
qjs,Jx3,2,31754469436,4912656959
qjs,Gx1,2,2763722930,415386545
qjs,Gx3,2,12126471925,1561264797
zjs,Jx1,2,9561952101,1553989438
zjs,Jx3,2,26353644445,4350748300
zjs,Gx1,2,2269017927,337920296
zjs,Gx3,2,6140561141,964373436
zjs,Jx1,3,9561995903,1555230535
zjs,Jx3,3,26353521737,4350245283
zjs,Gx1,3,2268980971,337859023
zjs,Gx3,3,6140536638,957921998
qjs,Jx1,3,9816481093,1549678295
qjs,Jx3,3,31754205312,4922999685
qjs,Gx1,3,2763757572,412200535
qjs,Gx3,3,12126479635,1561306051
qjs,Jx1,4,9816397152,1550445312
qjs,Jx3,4,31754280924,4915262572
qjs,Gx1,4,2763791663,412581699
qjs,Gx3,4,12126457398,1563465473
zjs,Jx1,4,9561997654,1556424436
zjs,Jx3,4,26353678131,4350809199
zjs,Gx1,4,2268900963,337457182
zjs,Gx3,4,6140405820,957393693
zjs,Jx1,5,9562074262,1558201222
zjs,Jx3,5,26353671973,4351086292
zjs,Gx1,5,2269012985,340388868
zjs,Gx3,5,6140528468,959093114
qjs,Jx1,5,9816498540,1547995334
qjs,Jx3,5,31754316362,4909365741
qjs,Gx1,5,2763721989,412003253
qjs,Gx3,5,12126512696,1562130712
qjs,Jx1,6,9816387465,1548059188
qjs,Jx3,6,31754371443,4930046220
qjs,Gx1,6,2763750607,412478484
qjs,Gx3,6,12126466516,1559614047
zjs,Jx1,6,9561972287,1562056883
zjs,Jx3,6,26353803668,4355770100
zjs,Gx1,6,2268980848,338477200
zjs,Gx3,6,6140532040,963441380
zjs,Jx1,7,9562063589,1556406627
zjs,Jx3,7,26353696451,4350709588
zjs,Gx1,7,2268933658,337902418
zjs,Gx3,7,6140481458,962871738
qjs,Jx1,7,9816498174,1547911456
qjs,Jx3,7,31754438483,4907189230
qjs,Gx1,7,2763780991,412608184
qjs,Gx3,7,12126507546,1561806894
qjs,Jx1,8,9816401864,1550052306
qjs,Jx3,8,31754427105,4910377717
qjs,Gx1,8,2763754853,416492226
qjs,Gx3,8,12126486425,1560239214
zjs,Jx1,8,9562006463,1555071156
zjs,Jx3,8,26353737991,4348249059
zjs,Gx1,8,2269007692,338735025
zjs,Gx3,8,6140597576,962033991
