binary,case,sample,instructions,cycles
zjs,Ny1,1,9562071676,1555457575
zjs,Ny3,1,25619020871,4274907088
zjs,Ne1,1,2269007146,338070817
zjs,Ne3,1,3740100776,660630634
qjs,Ny1,1,9816505439,1553015942
qjs,Ny3,1,25722752208,4130355569
qjs,Ne1,1,2763723916,414680929
qjs,Ne3,1,4564460251,650460571
qjs,Ny1,2,9816429549,1551272038
qjs,Ny3,2,25722673250,4129185141
qjs,Ne1,2,2763784393,414038261
qjs,Ne3,2,4564331267,647945312
zjs,Ny1,2,9561922623,1556172395
zjs,Ny3,2,25618905191,4281728814
zjs,Ne1,2,2268972934,338315729
zjs,Ne3,2,3739885214,584259215
zjs,Ny1,3,9561970999,1556899542
zjs,Ny3,3,25620177201,4799718453
zjs,Ne1,3,2269038029,337484200
zjs,Ne3,3,3740052662,639425723
qjs,Ny1,3,9816393487,1545675803
qjs,Ny3,3,25722559448,4133475818
qjs,Ne1,3,2763713064,413491427
qjs,Ne3,3,4564359052,644191180
qjs,Ny1,4,9816557040,1552017164
qjs,Ny3,4,25722788933,4116829361
qjs,Ne1,4,2763781078,412654870
qjs,Ne3,4,4564400527,650365283
zjs,Ny1,4,9561923972,1554937698
zjs,Ny3,4,25618846125,4278343318
zjs,Ne1,4,2269069396,338746737
zjs,Ne3,4,3739876723,589931361
zjs,Ny1,5,9561976071,1554112746
zjs,Ny3,5,25618848389,4277032523
zjs,Ne1,5,2269000702,338658779
zjs,Ne3,5,3739888439,584533680
qjs,Ny1,5,9816472910,1551140224
qjs,Ny3,5,25722591848,4134188512
qjs,Ne1,5,2763772554,412664011
qjs,Ne3,5,4564322146,644383015
qjs,Ny1,6,9816479787,1547295607
qjs,Ny3,6,25722603135,4127227266
qjs,Ne1,6,2763814530,420924492
qjs,Ne3,6,4564405041,644403472
zjs,Ny1,6,9562054946,1557032388
zjs,Ny3,6,25618841055,4280607446
zjs,Ne1,6,2268939345,337745934
zjs,Ne3,6,3739952427,584869673
zjs,Ny1,7,9562090928,1554840021
zjs,Ny3,7,25618887760,4282646238
zjs,Ne1,7,2268978964,337826306
zjs,Ne3,7,3739837241,590317516
qjs,Ny1,7,9816540689,1548768578
qjs,Ny3,7,25722717286,4135072592
qjs,Ne1,7,2763705604,415170368
qjs,Ne3,7,4564381730,644408035
qjs,Ny1,8,9816468592,1548352521
qjs,Ny3,8,25722587391,4129434199
qjs,Ne1,8,2763796420,411571315
qjs,Ne3,8,4564281834,649589226
zjs,Ny1,8,9562053442,1555076238
zjs,Ny3,8,25618819143,4275677357
zjs,Ne1,8,2268995097,337164213
zjs,Ne3,8,3739948143,593150288
