binary,case,sample,instructions,cycles
zjs,ctrl,1,16412556123,2889363460
zjs,empty,1,2447773,2028034
zjs,A_direct_call,1,12908672630,2205447713
zjs,A2_direct_call_ret,1,11758094848,2051064327
zjs,F_simple_ctor,1,10216641169,1572815829
zjs,L0_ctor_noprops,1,6655920558,1218745258
zjs,L3_ctor_threeprops,1,12147125581,1835040694
zjs,L4_generic_ctor,1,15868776108,2495667108
zjs,W0_fresh_object,1,3478886924,567640388
zjs,W1_newprop_writes,1,12096566262,1670127752
zjs,H1_prop_read,1,7166480472,1223638101
zjs,M1_proto_data_read,1,7886785825,1388358194
qjs,ctrl,1,20412046766,3714916702
qjs,empty,1,2278748,1562194
qjs,A_direct_call,1,11767087664,1788326010
qjs,A2_direct_call_ret,1,11182015945,1817015805
qjs,F_simple_ctor,1,9631655948,1623313935
qjs,L0_ctor_noprops,1,4914615599,782935135
qjs,L3_ctor_threeprops,1,12242505849,2049480359
qjs,L4_generic_ctor,1,12487536887,2072150043
qjs,W0_fresh_object,1,3661686524,585459473
qjs,W1_newprop_writes,1,11009416671,1677620061
qjs,H1_prop_read,1,8846547150,1571935411
qjs,M1_proto_data_read,1,9246729163,1705331892
qjs,ctrl,2,20411804557,3704792155
qjs,empty,2,2281621,1463361
qjs,A_direct_call,2,11767008406,1782584938
qjs,A2_direct_call_ret,2,11182032951,1820297456
qjs,F_simple_ctor,2,9656499160,1626692269
qjs,L0_ctor_noprops,2,4914523940,779933238
qjs,L3_ctor_threeprops,2,12262565633,2050187107
qjs,L4_generic_ctor,2,12532820840,2097818108
qjs,W0_fresh_object,2,3661793748,578192996
qjs,W1_newprop_writes,2,11009438225,1681090148
qjs,H1_prop_read,2,8846579630,1568723168
qjs,M1_proto_data_read,2,9246896373,1705336030
zjs,ctrl,2,16412764881,2882766974
zjs,empty,2,2448291,1981600
zjs,A_direct_call,2,12908918450,2207788754
zjs,A2_direct_call_ret,2,11758175914,2047281247
zjs,F_simple_ctor,2,10241581175,1576294496
zjs,L0_ctor_noprops,2,6656036929,1214265813
zjs,L3_ctor_threeprops,2,12127242508,1840168143
zjs,L4_generic_ctor,2,15868777236,2496185279
zjs,W0_fresh_object,2,3478865533,565969426
zjs,W1_newprop_writes,2,12091563064,1672689811
zjs,H1_prop_read,2,7166245459,1226140606
zjs,M1_proto_data_read,2,7886793208,1381135050
zjs,ctrl,3,16412670186,2890785836
zjs,empty,3,2461898,1798537
zjs,A_direct_call,3,12908766815,2211405920
zjs,A2_direct_call_ret,3,11758129141,2052321015
zjs,F_simple_ctor,3,10266686547,1582294999
zjs,L0_ctor_noprops,3,6656048213,1217358433
zjs,L3_ctor_threeprops,3,12102285692,1832661380
zjs,L4_generic_ctor,3,15933809093,2504165848
zjs,W0_fresh_object,3,3478819763,565039166
zjs,W1_newprop_writes,3,12056530284,1672612876
zjs,H1_prop_read,3,7166318982,1216514941
