binary,case,sample,instructions,cycles
zjs,ctrl,1,16412201815,2882664343
zjs,B_method_call,1,12758349229,2260641096
zjs,I_proto_method,1,8826982127,1747055372
zjs,G_raytrace_ctor,1,11255639800,2116143016
zjs,D_apply_arguments,1,11606594620,2128029650
zjs,C_apply_array_literal,1,12487663357,2165394721
zjs,C2_apply_array_hoisted,1,12076734382,2211148488
zjs,E0_arguments_zeroarg,1,7000551873,1190929392
zjs,E4_arguments_fourarg,1,14908642869,2562368832
zjs,A_direct_call,1,12908187627,2206247293
qjs,ctrl,1,20411419820,3697878842
qjs,B_method_call,1,11331869459,1875577775
qjs,I_proto_method,1,7086218304,1545822791
qjs,G_raytrace_ctor,1,8069987650,1442375436
qjs,D_apply_arguments,1,8213511769,1502775648
qjs,C_apply_array_literal,1,10248302759,1628168248
qjs,C2_apply_array_hoisted,1,9834230947,1579151029
qjs,E0_arguments_zeroarg,1,5284899337,948382899
qjs,E4_arguments_fourarg,1,10212051384,1828271557
qjs,A_direct_call,1,11766983742,1786099592
qjs,ctrl,2,20412118686,3701002661
qjs,B_method_call,2,11332375068,1890075719
qjs,I_proto_method,2,7086559911,1550608155
qjs,G_raytrace_ctor,2,8070276331,1436597386
qjs,D_apply_arguments,2,8213774091,1501265209
qjs,C_apply_array_literal,2,10248590054,1629796299
qjs,C2_apply_array_hoisted,2,9834518427,1581540923
qjs,E0_arguments_zeroarg,2,5284956756,957226027
qjs,E4_arguments_fourarg,2,10212109305,1818141218
qjs,A_direct_call,2,11767076420,1799007370
zjs,ctrl,2,16412959723,2891037299
zjs,B_method_call,2,12758758194,2262117800
zjs,I_proto_method,2,8827308284,1748015737
zjs,G_raytrace_ctor,2,11266018765,2119031593
zjs,D_apply_arguments,2,11607131024,2129335148
zjs,C_apply_array_literal,2,12488168857,2165600271
zjs,C2_apply_array_hoisted,2,12077195304,2212558658
zjs,E0_arguments_zeroarg,2,7000865410,1191539432
zjs,E4_arguments_fourarg,2,14909135495,2564807887
zjs,A_direct_call,2,12908625329,2207287126
zjs,ctrl,3,16412721338,2894619187
zjs,B_method_call,3,12758540077,2264150232
zjs,I_proto_method,3,8827278057,1748243734
zjs,G_raytrace_ctor,3,11256060592,2141239574
zjs,D_apply_arguments,3,11606938222,2129988828
zjs,C_apply_array_literal,3,12488052996,2166005905
zjs,C2_apply_array_hoisted,3,12077168754,2212496039
zjs,E0_arguments_zeroarg,3,7000774251,1191090684
zjs,E4_arguments_fourarg,3,14909721009,2822406702
zjs,A_direct_call,3,12908939054,2206975797
qjs,ctrl,3,20412440658,3724004592
qjs,B_method_call,3,11332370202,1880430772
qjs,I_proto_method,3,7086502485,1555614018
qjs,G_raytrace_ctor,3,8070202362,1441382558
qjs,D_apply_arguments,3,8213827615,1502810199
qjs,C_apply_array_literal,3,10248618318,1629252396
qjs,C2_apply_array_hoisted,3,9834628935,1579736766
qjs,E0_arguments_zeroarg,3,5284980466,951997289
qjs,E4_arguments_fourarg,3,10212202186,1830135684
qjs,A_direct_call,3,11767006100,1783533931
qjs,ctrl,4,20413234113,4198285841
qjs,B_method_call,4,11332199365,1877951800
qjs,I_proto_method,4,7086484360,1555650460
qjs,G_raytrace_ctor,4,8070332263,1496019242
qjs,D_apply_arguments,4,8213876208,1506200522
qjs,C_apply_array_literal,4,10248562569,1640472390
qjs,C2_apply_array_hoisted,4,9834657032,1577348205
qjs,E0_arguments_zeroarg,4,5285055923,951678494
qjs,E4_arguments_fourarg,4,10212059480,1817099602
qjs,A_direct_call,4,11766974962,1780801400
zjs,ctrl,4,16412784362,2883632775
zjs,B_method_call,4,12758712902,2262644439
zjs,I_proto_method,4,8827422958,1748137240
zjs,G_raytrace_ctor,4,11230311521,2157142180
zjs,D_apply_arguments,4,11607215214,2131229184
zjs,C_apply_array_literal,4,12488112047,2166146683
zjs,C2_apply_array_hoisted,4,12077177468,2211581183
zjs,E0_arguments_zeroarg,4,7000714704,1191721957
zjs,E4_arguments_fourarg,4,14909204657,2567486289
zjs,A_direct_call,4,12908762930,2201980497
zjs,ctrl,5,16412743198,2893720342
zjs,B_method_call,5,12758639204,2262597336
zjs,I_proto_method,5,8827339790,1748012094
zjs,G_raytrace_ctor,5,11256034889,2138877558
zjs,D_apply_arguments,5,11607055019,2130822325
zjs,C_apply_array_literal,5,12488038826,2167495487
zjs,C2_apply_array_hoisted,5,12077198160,2211804859
zjs,E0_arguments_zeroarg,5,7000779533,1192197156
zjs,E4_arguments_fourarg,5,14909167962,2570280066
zjs,A_direct_call,5,12908749163,2201039881
qjs,ctrl,5,20412124143,3699140057
qjs,B_method_call,5,11332246939,1879136350
qjs,I_proto_method,5,7086334493,1553688019
qjs,G_raytrace_ctor,5,8070097957,1440214237
qjs,D_apply_arguments,5,8213764353,1506500001
qjs,C_apply_array_literal,5,10248669573,1632027525
qjs,C2_apply_array_hoisted,5,9834467945,1580404421
qjs,E0_arguments_zeroarg,5,5284970537,950167692
qjs,E4_arguments_fourarg,5,10212031497,1822082394
qjs,A_direct_call,5,11766993781,1795452462
qjs,ctrl,6,20412199708,3701129854
qjs,B_method_call,6,11332224744,1879579017
qjs,I_proto_method,6,7086354803,1549329835
qjs,G_raytrace_ctor,6,8070192960,1436725969
qjs,D_apply_arguments,6,8213814075,1502241299
qjs,C_apply_array_literal,6,10248595719,1654774774
qjs,C2_apply_array_hoisted,6,9834462542,1579192152
qjs,E0_arguments_zeroarg,6,5284996666,952138676
qjs,E4_arguments_fourarg,6,10212049982,1825950686
qjs,A_direct_call,6,11767059292,1785579117
zjs,ctrl,6,16412759914,2888828294
zjs,B_method_call,6,12758813741,2263415595
zjs,I_proto_method,6,8827263223,1747947592
zjs,G_raytrace_ctor,6,11255939148,2116815853
zjs,D_apply_arguments,6,11607018810,2130891684
zjs,C_apply_array_literal,6,12488056617,2165353708
zjs,C2_apply_array_hoisted,6,12077130250,2211690017
zjs,E0_arguments_zeroarg,6,7000779810,1192224905
zjs,E4_arguments_fourarg,6,14909043125,2567362116
zjs,A_direct_call,6,12908680423,2205344574
zjs,ctrl,7,16413213044,2888726620
zjs,B_method_call,7,12758559358,2263655695
zjs,I_proto_method,7,8827278408,1747179470
zjs,G_raytrace_ctor,7,11230029446,2111482294
zjs,D_apply_arguments,7,11606960239,2144603353
zjs,C_apply_array_literal,7,12488221820,2165692296
zjs,C2_apply_array_hoisted,7,12077278783,2211462850
zjs,E0_arguments_zeroarg,7,7000824727,1192951662
zjs,E4_arguments_fourarg,7,14909177130,2567491197
zjs,A_direct_call,7,12908744364,2220820245
qjs,ctrl,7,20412026391,3695984864
qjs,B_method_call,7,11332306480,1882366613
qjs,I_proto_method,7,7086419042,1546840093
qjs,G_raytrace_ctor,7,8070224151,1436302395
qjs,D_apply_arguments,7,8213817489,1503358387
qjs,C_apply_array_literal,7,10248623507,1631991804
qjs,C2_apply_array_hoisted,7,9834503784,1582872739
qjs,E0_arguments_zeroarg,7,5284902111,950383741
qjs,E4_arguments_fourarg,7,10212188053,1835084679
qjs,A_direct_call,7,11767041186,1782834929
qjs,ctrl,8,20412062665,3718005553
qjs,B_method_call,8,11332281546,1894387003
qjs,I_proto_method,8,7086369566,1550422375
qjs,G_raytrace_ctor,8,8078246129,1442386200
qjs,D_apply_arguments,8,8213611281,1503216488
