benchmark,call_kind,q_event_count,z_event_count,q_instructions_per_event,z_instructions_per_event,instruction_deficit_per_event,q_cycles_per_event,z_cycles_per_event,cycle_deficit_per_event,q_backend_stall_per_event,z_backend_stall_per_event,backend_stall_deficit_per_event,absolute_cycle_deficit,predicted_zoo_contribution_pp,basis,note
box2d,whole_workload_per_semantic_call,2261622.0,2173441.0,2391.046713597586,2536.086345108977,145.03963151139124,521.3507115689536,585.5350968809367,64.18438531198319,173.9323290983197,166.99907911003794,-6.933249988281773,93195495.0,0.2480944108538431,production perf stat ABBA8; whole workload normalized by each engine's calls,normalization only; not an isolated call-boundary unit cost
box2d,sampled_call_entry,2261622.0,2173441.0,,,,33.301935292458246,40.03416149782764,6.732226205369393,,,,11793780.0,0.030372860697797713,"flat cycles samples, period 65521, ABBA8","region upper bound, not a named mechanism; positive pairs 8/8"
box2d,sampled_call_return,2261622.0,2173441.0,,,,1.6658210346379723,18.509770451555852,16.84394941691788,,,,36527957.5,0.09500500300606626,"flat cycles samples, period 65521, ABBA8","region upper bound, not a named mechanism; positive pairs 8/8"
box2d,native_backtrace_publish_restore,705278.0,704366.0,,,,,5.732364761578525,5.732364761578525,,,,4037682.8376540192,0.010366557460841627,"PdfJS causal ablation cost / PdfJS NativeBacktraceScope count, transferred by exposure",z publish/restore 704366.0/704366.0; unit MAD 0.894 cyc; semantic qualification remains blocked
box2d,js_to_js,1556344.0,1469083.0,,,,,,,,,,,,counter-only ABBA8,
box2d,js_to_native_c_function,705278.0,704358.0,,,,,,,,,,,,counter-only ABBA8; comparable observable C_FUNCTION seam,
box2d,bytecode_builtin_bytecode_reentry,160329.0,247589.0,,,,,,,,,,,,counter-only ABBA8,
box2d,bytecode_frame_push_pop,1716674.0,1716673.0,,,,,,,,,,,,counter-only ABBA8,q push/pop 1716674.0/1716674.0; z push/pop 1716673.0/1716673.0
box2d,entry_or_current_frame_republication,1716674.0,1469083.0,,,,,,,,,,,,counter-only ABBA8; implementation-specific publication seams,
box2d,reload_top,0,0.0,,,,,,,,,,,,counter-only ABBA8; zjs-specific seam,
box2d,reload_after_pop,0,1143584.0,,,,,,,,,,,,counter-only ABBA8; zjs-specific seam,
box2d,interrupt_poll,8114622.0,8115087.0,,,,,,,,,,,,counter-only ABBA8,
box2d,native_fence,160329.0,247589.0,,,,,,,,,,,,counter-only ABBA8; native-to-bytecode boundary,z fence push/restore 247589.0/247589.0
