binary,case,sample,instructions,cycles
zjs,loop,1,1643662479,286766747
zjs,dep,1,8467877445,1971358097
zjs,indep,1,9366543708,1364979695
qjs,loop,1,2043623747,373610917
qjs,dep,1,10187375260,1995489942
qjs,indep,1,11386864828,1724310440
qjs,loop,2,2043580878,373091196
qjs,dep,2,10187482557,1995290019
qjs,indep,2,11386942103,1747608566
zjs,loop,2,1643822668,284821857
zjs,dep,2,8467783042,1970553227
zjs,indep,2,9366551820,1364451561
zjs,loop,3,1643737467,287815432
zjs,dep,3,8467875853,1970803200
zjs,indep,3,9366420197,1363254822
qjs,loop,3,2043590425,373406375
qjs,dep,3,10187502445,1996875117
qjs,indep,3,11387012983,1769408293
qjs,loop,4,2043567965,373494756
qjs,dep,4,10187390686,1995198263
qjs,indep,4,11387026169,1747226489
zjs,loop,4,1643811025,288421670
zjs,dep,4,8467794410,1970870488
zjs,indep,4,9366557035,1387328655
zjs,loop,5,1643850489,286523799
zjs,dep,5,8467821074,1970467986
zjs,indep,5,9366472279,1363086129
qjs,loop,5,2043539638,372760872
qjs,dep,5,10187621852,1997145076
qjs,indep,5,11387103434,1752434060
qjs,loop,6,2043591458,373076956
qjs,dep,6,10187526604,1993518517
qjs,indep,6,11386994607,1754172619
zjs,loop,6,1643827602,286584437
zjs,dep,6,8467867478,1970416045
zjs,indep,6,9366419123,1363586447
zjs,loop,7,1643797268,294528133
zjs,dep,7,8467727414,1970845395
zjs,indep,7,9366507081,1364887384
qjs,loop,7,2043576470,375457584
qjs,dep,7,10187476549,1993308598
qjs,indep,7,11387023639,1750225729
qjs,loop,8,2043564953,375643579
qjs,dep,8,10187468859,1992770756
qjs,indep,8,11387053839,1802316122
zjs,loop,8,1643811022,286541469
zjs,dep,8,8467794336,1970506424
zjs,indep,8,9366441436,1366608725
