binary,case,sample,instructions,cycles
zjs,loop,1,1643566560,286696165
zjs,pdep,1,6866200063,1384330412
zjs,pindep,1,7766335602,1481383799
qjs,loop,1,2043508562,372517302
qjs,pdep,1,9225995868,1531757484
qjs,pindep,1,10426196362,1674709063
qjs,loop,2,2043539773,375330777
qjs,pdep,2,9226039312,1545782017
qjs,pindep,2,10426243893,1649441991
zjs,loop,2,1643670649,286765060
zjs,pdep,2,6866149598,1384412167
zjs,pindep,2,7766131429,1405889909
zjs,loop,3,1643744000,287493230
zjs,pdep,3,6866031854,1383849977
zjs,pindep,3,7766495132,1527922596
qjs,loop,3,2043570603,374563974
qjs,pdep,3,9226000728,1538383436
qjs,pindep,3,10426307564,1643090562
qjs,loop,4,2043441321,373304515
qjs,pdep,4,9226011248,1537805068
qjs,pindep,4,10426353500,1695607049
zjs,loop,4,1643732513,287506271
zjs,pdep,4,6866198124,1384314233
zjs,pindep,4,7766104931,1407850925
zjs,loop,5,1643774767,308729870
zjs,pdep,5,6866149923,1383681170
zjs,pindep,5,7766059714,1403909795
qjs,loop,5,2043522943,374981521
qjs,pdep,5,9225844949,1502505896
qjs,pindep,5,10426279504,1685601326
qjs,loop,6,2043549067,375408870
qjs,pdep,6,9226042172,1502897679
qjs,pindep,6,10426395638,1696228599
zjs,loop,6,1643738559,285047238
zjs,pdep,6,6866101519,1383866305
zjs,pindep,6,7766183480,1405109593
zjs,loop,7,1643738461,286396376
zjs,pdep,7,6866205182,1383774198
zjs,pindep,7,7766150268,1399465721
qjs,loop,7,2043463528,375054159
qjs,pdep,7,9225878582,1503263069
qjs,pindep,7,10426270684,1637188740
qjs,loop,8,2043440652,374415732
qjs,pdep,8,9226033425,1532204790
qjs,pindep,8,10426328205,1695586318
zjs,loop,8,1643703488,286394396
zjs,pdep,8,6866097295,1383394847
zjs,pindep,8,7766239351,1403871225
