binary,case,sample,instructions,cycles
zjs,loop,1,823120658,144832338
zjs,f1,1,1743704139,334194334
zjs,f2,1,2434242625,556160781
zjs,f4,1,3815175209,1012673658
zjs,i1,1,1543639250,273277960
zjs,i2,1,2033820849,395028460
zjs,i4,1,3014411522,661585608
qjs,loop,1,1023010024,187818361
qjs,f1,1,2123301672,337444921
qjs,f2,1,2933809907,538307543
qjs,f4,1,4554873352,976247819
qjs,i1,1,2003261583,325308592
qjs,i2,1,2693701793,442165910
qjs,i4,1,4074214464,701244539
qjs,loop,2,1023047899,187088338
qjs,f1,2,2123483873,336739321
qjs,f2,2,2933864027,538412533
qjs,f4,2,4554877213,975498582
qjs,i1,2,2003322437,323189450
qjs,i2,2,2693659038,442314048
qjs,i4,2,4074292803,693922138
zjs,loop,2,823225158,144105582
zjs,f1,2,1743758839,334138822
zjs,f2,2,2434271536,556340085
zjs,f4,2,3815248437,1012458768
zjs,i1,2,1543600861,273463953
zjs,i2,2,2033808354,395090913
zjs,i4,2,3014578181,661143210
zjs,loop,3,823130315,143630049
zjs,f1,3,1743600402,333460995
zjs,f2,3,2434250555,556206761
zjs,f4,3,3815093913,1012467709
zjs,i1,3,1543538986,273286977
zjs,i2,3,2033902578,395193253
zjs,i4,3,3014467966,661317785
qjs,loop,3,1023097152,187496079
qjs,f1,3,2123460856,336817070
qjs,f2,3,2933926698,538240515
qjs,f4,3,4554874508,975891869
qjs,i1,3,2003405217,323442198
qjs,i2,3,2693698691,448659687
qjs,i4,3,4074292141,692425180
qjs,loop,4,1023091794,187757129
qjs,f1,4,2123339840,341134967
qjs,f2,4,2933758044,538580733
qjs,f4,4,4554847567,975266237
qjs,i1,4,2003336928,326474599
qjs,i2,4,2693609828,450219213
qjs,i4,4,4074123807,679299546
zjs,loop,4,823252861,144371693
zjs,f1,4,1743617461,333613534
zjs,f2,4,2434197020,556105752
zjs,f4,4,3815249948,1012316442
zjs,i1,4,1543624238,273127823
zjs,i2,4,2033846841,395099093
zjs,i4,4,3014595295,662105930
zjs,loop,5,823215099,143748098
zjs,f1,5,1743690201,333773017
zjs,f2,5,2434222043,556216436
zjs,f4,5,3815254375,1012432327
zjs,i1,5,1543557227,273372654
zjs,i2,5,2033903504,395514192
zjs,i4,5,3014475896,661710492
qjs,loop,5,1023053763,187434563
qjs,f1,5,2123450281,340593092
qjs,f2,5,2933901794,538745243
qjs,f4,5,4554906997,975269570
qjs,i1,5,2003385134,329678776
qjs,i2,5,2693661266,448667231
qjs,i4,5,4074245609,678631906
qjs,loop,6,1023039428,188374844
qjs,f1,6,2123415619,337673438
qjs,f2,6,2933877452,538364703
qjs,f4,6,4554831107,975587355
qjs,i1,6,2003332222,323338391
qjs,i2,6,2693509575,441707623
qjs,i4,6,4074225788,678663504
zjs,loop,6,823300978,144739060
zjs,f1,6,1743771407,333680309
zjs,f2,6,2434353525,556072430
zjs,f4,6,3815252555,1012215564
zjs,i1,6,1543497536,273146791
zjs,i2,6,2033921045,395369524
zjs,i4,6,3014393387,661492990
zjs,loop,7,823205640,146716654
zjs,f1,7,1743552908,333497882
zjs,f2,7,2434155999,555971977
zjs,f4,7,3815192599,1012587983
zjs,i1,7,1543605438,272986549
zjs,i2,7,2033878563,395009357
zjs,i4,7,3014539829,661578998
qjs,loop,7,1023049455,187877152
qjs,f1,7,2123411876,341206330
qjs,f2,7,2933934041,539231335
qjs,f4,7,4554775080,975288151
qjs,i1,7,2003328742,329687785
qjs,i2,7,2693722228,450926052
qjs,i4,7,4074160146,677671908
qjs,loop,8,1022938628,187278294
qjs,f1,8,2123384395,339416586
qjs,f2,8,2933884456,538481715
qjs,f4,8,4554918744,976264215
qjs,i1,8,2003421543,325655790
qjs,i2,8,2693685969,441920792
qjs,i4,8,4074231182,678620147
zjs,loop,8,823180349,144609653
zjs,f1,8,1743651677,334052668
zjs,f2,8,2434215782,556265454
zjs,f4,8,3815272099,1012762175
zjs,i1,8,1543666926,273620770
zjs,i2,8,2033869456,395243710
zjs,i4,8,3014566088,662008234
