binary,sample,insn,cyc,stall_be,stall_be_mem,stall_fe,brmiss,l1d_rf,l2d_rf
zjs,1,9025164055,1745709203,579424409,4457549,67127000,165165,5226504,410941
qjs,1,9357374435,1645426133,364623930,3461455,61239017,162201,4888868,323657
qjs,2,9357212382,1646671336,358120098,3099127,75698701,160973,4904783,303680
zjs,2,9025193335,1736241826,576535221,3887758,60569185,162116,5278272,444639
zjs,3,9025090007,1730762983,576871123,4009270,57238836,157656,5240546,446793
qjs,3,9357181755,1645297635,370802534,3288341,64508152,161161,4926201,321025
qjs,4,9357190582,1641966144,369344220,3751129,61180468,160967,4904509,335962
zjs,4,9025168515,1740507278,594045026,3980668,52926307,162564,5296502,429927
zjs,5,9025107339,1737145649,566064587,4051372,67890671,161168,5242426,363170
qjs,5,9357249704,1644255640,371591349,3974192,59307553,161979,4360082,457515
qjs,6,9357217243,1632843234,377783546,3678227,51620874,162281,4947551,336133
zjs,6,9025145286,1734643756,592428838,4089964,49677980,162209,5248919,430745
zjs,7,9025092838,1733046429,570459653,3870224,67588691,158422,5239213,332082
qjs,7,9357216502,1631561272,370163317,3680516,53345776,161735,4929375,367795
qjs,8,9357118980,1640846821,372000011,3373580,58745898,159918,4908413,339464
zjs,8,9025065004,1729290305,568820741,3870985,61294228,162187,5251844,402048
